Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF
dnf,BUG,MM,152 Pathasema,Sombat,,,,9,,0,1,Senior,162.78,20,,,,,,,,,,,,,,1,,,,,,,,,1,36.21,26.21,10,,,,,,,39.47,37.47,2,,,,,,,49.12,47.12,2,,,,,,,37.98,31.98,6,,,,,,
dnf,ESP,MM,016 Sabankluai,Pakdee,,,,1,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SPD,ALL,224 Wu,Garrett,,,,12,,0,1,,75.31,7,,,,,,20.73,19.73,1,,,,,,,13.59,12.59,1,,,,,,,19.51,17.51,2,,,,,,,,,,,,,,,1,,,,,,,,,1,21.48,18.48,3,,,,,,
dnf,CO,SS,186 Yang,Qingzheng,,,,10,,0,1,,80.00,3,,,,,,18.95,18.95,,,,,,,,,,,,,,,,1,,,,,,,,,1,20.88,18.88,2,,,,,,,17.57,17.57,,,,,,,,22.60,21.60,1,,,,,,
dnf,ESP,SS,077 Thumweerayothin,Thossapoom,,,,4,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,MM,010 Chittong,Umnarj,,,,1,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,UN,195 Supparachchatapong,Pongpuchis,,,,11,,0,1,"Law Enforcement,Senior",0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CCP,NV,005 Amronpraseat,Montri,,,,1,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,PCC,MA,082 Deewajin,Anurak,,,,5,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,MM,204 Poala,Nattapon,,,,11,,0,1,Law Enforcement,123.16,24,,,,,,27.18,27.18,,,,,,,,27.37,21.37,6,,,,,,,,,,,,,,,1,,,,,,,,,1,30.74,25.74,5,,,,,,,37.87,24.87,13,,,,,,
dnf,PCC,MM,166 Tinnarat,Apichart,,,,9,,0,1,Law Enforcement,64.60,4,,,,,,,,,,,,,,1,,,,,,,,,1,17.78,16.78,1,,,,,,,15.96,13.96,2,,,,,,,13.92,13.92,,,,,,,,16.94,15.94,1,,,,,,
dnf,CCP,NV,011 Inpramool,Rataphum,,,,1,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CO,NV,079 Yongying,Pradya,,,,4,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,UN,179 Chutaganont,Siriwat,,,,10,,0,1,,181.26,68,,8,,,,64.78,12.78,31,,7,,,,,,,,,,,,,1,,,,,,,,,1,45.04,29.04,13,,1,,,,,35.68,27.68,8,,,,,,,35.76,19.76,16,,,,,,
dnf,SPD,ALL,223 Xiaojian,Hu,,,,12,,0,1,,98.01,4,,,,,,22.29,22.29,,,,,,,,26.37,23.37,3,,,,,,,25.09,24.09,1,,,,,,,,,,,,,,,1,,,,,,,,,1,24.26,24.26,,,,,,,
dnf,CCP,NV,068 Kunpukdee,Teerapong,,,,4,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,BUG,UN,066 Kanbut,Muskorn,,,,4,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CO,UN,070 Chotichuchai,Chat,,,,4,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CDP,UN,119 Muenkanya,Kiattipoom,,,,6,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CCP,NV,052 Nimma,Jeerasak,,,,3,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CCP,UN,221 Ardwichai,Anantasak,,,,12,,0,1,Law Enforcement,148.84,33,,,,,,31.66,26.66,5,,,,,,,45.85,27.85,18,,,,,,,38.15,29.15,9,,,,,,,,,,,,,,,1,,,,,,,,,1,33.18,32.18,1,,,,,,
dnf,SSP,MM,091 Deeprasert,Annop,,,,5,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CO,MM,155 Chanthadee,Karn,,,,9,,0,1,Law Enforcement,62.94,3,,,,,,,,,,,,,,1,,,,,,,,,1,21.67,20.67,1,,,,,,,22.27,21.27,1,,,,,,,19.00,18.00,1,,,,,,,,,,,,,,,1
dnf,CCP,MA,185 Pfenninger,Andy,,,,10,,0,1,Senior,80.25,4,,,,,,18.82,18.82,,,,,,,,,,,,,,,,1,,,,,,,,,1,22.45,20.45,2,,,,,,,17.31,17.31,,,,,,,,21.67,19.67,2,,,,,,
dnf,SSP,MA,207 Srirongmuang,Siam,,,,12,,0,1,,100.10,12,,,,,,18.59,18.59,,,,,,,,20.56,18.56,2,,,,,,,18.00,17.00,1,,,,,,,24.94,16.94,8,,,,,,,,,,,,,,,1,18.01,17.01,1,,,,,,
dnf,CCP,UN,143 Khwankaeo,Ratchanon,,,,8,,0,1,Law Enforcement,144.10,13,,,,,,,,,,,,,,1,36.25,32.25,4,,,,,,,32.79,30.79,2,,,,,,,36.43,36.43,,,,,,,,38.63,31.63,7,,,,,,,,,,,,,,,1
dnf,CO,SS,201 Hojongjaroen,Thanus,,,,11,,0,1,,139.22,31,,1,,,,22.66,22.66,,,,,,,,27.05,21.05,6,,,,,,,36.49,21.49,15,,,,,,,,,,,,,,,1,21.36,18.36,3,,,,,,,31.66,21.66,7,,1,,,,
dnf,SSP,UN,055 Hahom,Nattapon,,,,3,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CO,NV,169 Rachatamongkol,Pongpohn,,,,10,,0,1,Law Enforcement,107.75,8,,1,,,,28.28,25.28,,,1,,,,,,,,,,,,,1,,,,,,,,,1,29.52,26.52,3,,,,,,,22.70,18.70,4,,,,,,,27.25,26.25,1,,,,,,
dnf,PCC,NV,019 Khumkhrong,Jirawat,,,,1,,0,1,Senior,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,ESP,Ma,188 Smpaiwong,Somphot,,,,11,,0,1,Law Enforcement,71.73,6,,,,,,15.33,15.33,,,,,,,,20.90,17.90,3,,,,,,,,,,,,,,,1,,,,,,,,,1,17.07,15.07,2,,,,,,,18.43,17.43,1,,,,,,
dnf,CO,EX,222 Suriyasenee,Nachapol,,,,7,,0,1,,89.45,8,,,,,,19.98,19.98,,,,,,,,25.80,20.80,5,,,,,,,20.61,19.61,1,,,,,,,23.06,21.06,2,,,,,,,,,,,,,,,1,,,,,,,,,1
dnf,SSP,UN,071 Pratumwee,Sontaya,,,,4,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CCP,NV,211 Maneechansuk,Isawan,,,,12,,0,1,Junior,203.68,29,,,,,,34.30,32.30,2,,,,,,,37.94,30.94,7,,,,,,,43.66,33.66,10,,,,,,,43.95,34.95,9,,,,,,,,,,,,,,,1,43.83,42.83,1,,,,,,
dnf,SPD,ALL,226 Teng,Wang,,,,12,,0,1,,94.78,2,,,,,,22.62,22.62,,,,,,,,24.16,23.16,1,,,,,,,23.50,22.50,1,,,,,,,,,,,,,,,1,,,,,,,,,1,24.50,24.50,,,,,,,
dnf,ESP,SS,216 Roopkhamdee,Suphinya,,,,12,,0,1,Lady,129.17,18,,,,,,21.09,21.09,,,,,,,,29.62,24.62,5,,,,,,,22.72,19.72,3,,,,,,,25.58,23.58,2,,,,,,,,,,,,,,,1,30.16,22.16,8,,,,,,
dnf,ESP,NV,217 Wetjatuporn,Jirapa,,,,12,,0,1,Lady,193.58,65,,,,,,29.56,24.56,5,,,,,,,40.58,27.58,13,,,,,,,46.99,26.99,20,,,,,,,42.85,24.85,18,,,,,,,,,,,,,,,1,33.60,24.60,9,,,,,,
dnf,ESP,NV,124 Ploypadub,Ekkarak,,,,7,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,REV,SS,073 Sukriket,Parivat,,,,4,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,NV,092 Sutum,Pathra,,,,5,,0,1,Lady,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CDP,MM,199 Kucharo,Choosak,,,,11,,0,1,"Senior,Law Enforcement",143.44,19,1,2,,,,26.75,23.75,,,1,,,,,44.22,25.22,14,1,,,,,,,,,,,,,,1,,,,,,,,,1,31.46,29.46,2,,,,,,,41.01,35.01,3,,1,,,,
dnf,CCP,NV,175 Niyomna,Sakchai,,,,10,,0,1,Senior,144.58,12,1,,,,,33.60,30.60,3,,,,,,,,,,,,,,,1,,,,,,,,,1,37.25,29.25,8,,,,,,,37.15,32.15,,1,,,,,,36.58,35.58,1,,,,,,
dnf,CDP,NV,142 Sukpaiboon,Thammarat,,,,8,,0,1,Law Enforcement,125.60,22,,,,,,,,,,,,,,1,33.65,22.65,11,,,,,,,30.64,26.64,4,,,,,,,36.49,31.49,5,,,,,,,24.82,22.82,2,,,,,,,,,,,,,,,1
dnf,SSP,UN,039 Saensingkhonphan,Kittaphot,,,,2,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CCP,SS,206 Thinchomkwan,Natthawut,,,,11,,0,1,,128.37,11,,,,,,29.99,29.99,,,,,,,,33.02,32.02,1,,,,,,,,,,,,,,,1,,,,,,,,,1,33.21,24.21,9,,,,,,,32.15,31.15,1,,,,,,
dnf,CO,EX,156 Boonla,Vayupat,,,,9,,0,1,Law Enforcement,72.62,7,,,,,,,,,,,,,,1,,,,,,,,,1,17.87,17.87,,,,,,,,25.44,18.44,7,,,,,,,29.31,29.31,,,,,,,,,,,,,,,,1
dnf,PCC,EX,044 Uttanam,Anuchit,,,,3,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,NV,110 Chaiphong,Phuwanat,,,,6,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CDP,MM,038 Khrueaprasert,Bannasorn,,,,2,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CO,UN,220 Luahana,Kittichai,,,,12,,0,1,Law Enforcement,239.75,67,,1,,,,59.83,49.83,10,,,,,,,63.14,47.14,13,,1,,,,,52.33,34.33,18,,,,,,,,,,,,,,,1,,,,,,,,,1,64.45,38.45,26,,,,,,
dnf,PCC,MM,087 Kanthanawat,Jitsupa,,,,5,,0,1,Lady,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SPD,ALL,190 Cheenchan,Surattamead,,,,11,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CO,SS,056 Molee,Jaknarin,,,,3,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,BUG,NV,107 Kaewnate,Sanpatch,,,,6,,0,1,Senior,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,NV,104 Boonlith,Nattakorn,,,,6,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CDP,NV,075 Jirattikanan,Chai,,,,4,,0,1,"Law Enforcement,Senior",0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,ESP,UN,120 Sida,Chowalit,,,,6,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,BUG,MM,067 Pemchat,Sarat,,,,4,,0,1,Law Enforcement,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,PCC,MM,047 Saung,Pollavit,,,,3,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,SSP,MM,228 Wu,Moran,,,,10,,0,1,,151.36,46,1,,,,,29.41,24.41,5,,,,,,,,,,,,,,,1,,,,,,,,,1,57.67,26.67,26,1,,,,,,29.50,23.50,6,,,,,,,34.78,25.78,9,,,,,,
dnf,CO,MM,170 Tinrach,Amnat,,,,10,,0,1,Law Enforcement,95.35,16,,,,,,24.77,18.77,6,,,,,,,,,,,,,,,1,,,,,,,,,1,25.33,20.33,5,,,,,,,24.37,19.37,5,,,,,,,20.88,20.88,,,,,,,
dnf,ESP,EX,014 Dsct,Arm,,,,1,,0,1,,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,CO,EX,202 Boopeas,Alongkron,,,,11,,0,1,,135.29,25,,,,,,23.58,19.58,4,,,,,,,31.68,18.68,13,,,,,,,28.78,26.78,2,,,,,,,,,,,,,,,1,21.78,20.78,1,,,,,,,29.47,24.47,5,,,,,,
dnf,PCC,NV,160 Worrachotepitipatch,Pitipatch,,,,9,,0,1,,110.33,9,,2,,,,,,,,,,,,1,,,,,,,,,1,23.75,23.75,,,,,,,,26.61,15.61,5,,2,,,,,41.77,39.77,2,,,,,,,18.20,16.20,2,,,,,,
dnf,SPD,ALL,144 Akaraphongphakphoom,Kronphong,,,,8,,0,1,,121.61,17,,1,,,,,,,,,,,,1,26.37,25.37,1,,,,,,,34.39,24.39,7,,1,,,,,32.31,29.31,3,,,,,,,28.54,22.54,6,,,,,,,,,,,,,,,1
dnf,PCC,SS,083 Jamrien,Parinton,,,,5,,0,1,Lady,0.00,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
