Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF
1,PCC,MA,081 Ngamwongwan,Paradorn,,,,5,,1,0,,85.30,6,,,,,,12.88,12.88,,,,,,,,16.67,15.67,1,,,,,,,14.96,13.96,1,,,,,,,14.07,13.07,1,,,,,,,11.29,11.29,,,,,,,,15.43,12.43,3,,,,,,
2,PCC,MA,082 Deewajin,Anurak,,,,5,,1,0,,87.98,4,,,,,,13.50,13.50,,,,,,,,17.41,16.41,1,,,,,,,16.60,14.60,2,,,,,,,15.26,14.26,1,,,,,,,12.12,12.12,,,,,,,,13.09,13.09,,,,,,,
3,PCC,EX,089 Saenseeda,Charoen,,,,5,,1,0,,94.04,10,,,,,,16.43,14.43,2,,,,,,,21.22,16.22,5,,,,,,,15.87,14.87,1,,,,,,,14.56,12.56,2,,,,,,,12.24,12.24,,,,,,,,13.72,13.72,,,,,,,
4,PCC,EX,167 Kamonjitvaree,Kritawat,,,,9,,1,0,,97.74,10,,,,,,16.81,15.81,1,,,,,,,18.44,15.44,3,,,,,,,16.66,15.66,1,,,,,,,14.69,11.69,3,,,,,,,12.75,12.75,,,,,,,,18.39,16.39,2,,,,,,
5,CO,EX,146 Kunlasetthawat,Tanakom,,,,8,,1,0,,107.19,6,,,,,,20.13,20.13,,,,,,,,16.51,15.51,1,,,,,,,16.38,14.38,2,,,,,,,17.82,16.82,1,,,,,,,17.96,15.96,2,,,,,,,18.39,18.39,,,,,,,
6,PCC,MA,159 Charoendechkul,Vatcharapon,,,,9,,1,0,,107.81,8,,,,,,15.25,14.25,1,,,,,,,17.74,16.74,1,,,,,,,15.62,15.62,,,,,,,,17.83,13.83,4,,,,,,,13.61,12.61,1,,,,,,,27.76,26.76,1,,,,,,
7,PCC,SS,158 Hattapadid,Anonpisut,,,,9,,1,0,,108.08,17,,,,,,21.95,16.95,5,,,,,,,17.98,17.98,,,,,,,,20.84,15.84,5,,,,,,,17.18,13.18,4,,,,,,,14.41,13.41,1,,,,,,,15.72,13.72,2,,,,,,
8,PCC,SS,083 Jamrien,Parinton,,,,5,,1,0,Lady,109.00,7,,,,,,19.25,18.25,1,,,,,,,20.56,20.56,,,,,,,,17.94,17.94,,,,,,,,21.73,15.73,6,,,,,,,14.55,14.55,,,,,,,,14.97,14.97,,,,,,,
9,ESP,Ma,188 Smpaiwong,Somphot,,,,11,,1,0,Law Enforcement,109.60,8,,,,,,15.33,15.33,,,,,,,,20.90,17.90,3,,,,,,,18.15,18.15,,,,,,,,19.72,17.72,2,,,,,,,17.07,15.07,2,,,,,,,18.43,17.43,1,,,,,,
10,SSP,EX,157 Pimchue,Montree,,,,9,,1,0,,111.56,4,,,,,,18.18,18.18,,,,,,,,22.07,20.07,2,,,,,,,17.76,17.76,,,,,,,,19.46,18.46,1,,,,,,,15.75,15.75,,,,,,,,18.34,17.34,1,,,,,,
