Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF,Stage 7 Time,Stage 7 String 1,Stage 7 PD,Stage 7 Hits on Non-Threat,Stage 7 Procedural Error,Stage 7 Failure to Do Right,Stage 7 Flagrant,Stage 7 Finger PE,Stage 7 DNF,Stage 8 Time,Stage 8 String 1,Stage 8 PD,Stage 8 Hits on Non-Threat,Stage 8 Procedural Error,Stage 8 Failure to Do Right,Stage 8 Flagrant,Stage 8 Finger PE,Stage 8 DNF
88,REV,SS,081 Klinhom,Arthit,81,,,5,,1,0,Senior,280.45,42,1,2,,,,31.99,31.99,,,,,,,,22.22,22.22,,,,,,,,36.33,23.33,5,1,1,,,,,27.04,24.04,3,,,,,,,21.85,20.85,1,,,,,,,36.89,32.89,4,,,,,,,65.36,47.36,15,,1,,,,,38.77,24.77,14,,,,,,
89,CO,ALL,079 Kujaroenchaimanatee,Pheerapat,79,,,5,,1,0,,280.54,82,3,2,,,,27.87,25.87,2,,,,,,,25.37,21.37,4,,,,,,,74.62,24.62,32,3,1,,,,,27.20,19.20,8,,,,,,,18.36,16.36,2,,,,,,,22.17,20.17,2,,,,,,,45.15,31.15,11,,1,,,,,39.80,18.80,21,,,,,,
90,CCP,MM,182 Roonsaeng,Tassapol,182,,,10,,1,0,Law Enforcement,280.92,59,,,,,,30.65,25.65,5,,,,,,,29.23,25.23,4,,,,,,,46.63,23.63,23,,,,,,,31.73,25.73,6,,,,,,,24.28,23.28,1,,,,,,,30.90,28.90,2,,,,,,,48.17,37.17,11,,,,,,,39.33,32.33,7,,,,,,
91,REV,UN,221 Bunphaveerachon,Nachanok,221,,,5,,1,0,Senior,281.34,54,2,1,,,,47.18,41.18,3,,1,,,,,22.41,22.41,,,,,,,,48.17,21.17,17,2,,,,,,29.24,25.24,4,,,,,,,20.07,20.07,,,,,,,,32.10,29.10,3,,,,,,,28.11,28.11,,,,,,,,54.06,27.06,27,,,,,,
92,BUG,MM,151 Rittivorach,Thatchai,151,,,8,,1,0,,282.38,63,,1,,,,33.06,30.06,3,,,,,,,21.96,19.96,2,,,,,,,42.37,22.37,20,,,,,,,28.88,21.88,7,,,,,,,20.15,18.15,2,,,,,,,32.17,24.17,8,,,,,,,61.24,44.24,14,,1,,,,,42.55,35.55,7,,,,,,
93,SSP,NV,110 Sappakispaisan,Thongchai,110,,,6,,1,0,Senior,282.39,55,2,3,,,,32.98,30.98,2,,,,,,,23.60,23.60,,,,,,,,51.47,21.47,22,1,1,,,,,27.61,24.61,3,,,,,,,24.82,18.82,1,1,,,,,,28.58,25.58,3,,,,,,,55.42,29.42,20,,2,,,,,37.91,33.91,4,,,,,,
94,BUG,SS,175 PARN,CHALIN,175,,,10,,1,0,Senior,283.77,74,1,,,,,25.77,25.77,,,,,,,,21.95,21.95,,,,,,,,57.17,27.17,25,1,,,,,,33.46,24.46,9,,,,,,,21.80,19.80,2,,,,,,,28.82,26.82,2,,,,,,,45.50,35.50,10,,,,,,,49.30,23.30,26,,,,,,
95,CDP,UN,102 Thipsang,Charkid,102,,,6,,1,0,Law Enforcement,285.58,68,,,,,,30.41,30.41,,,,,,,,25.74,25.74,,,,,,,,38.12,17.12,21,,,,,,,51.49,29.49,22,,,,,,,21.00,21.00,,,,,,,,41.61,30.61,11,,,,,,,41.54,38.54,3,,,,,,,35.67,24.67,11,,,,,,
96,SSP,UN,198 Kanjana,Kasidej,198,,,5,,1,0,,286.20,76,3,4,,,,24.47,22.47,2,,,,,,,21.36,21.36,,,,,,,,52.88,21.88,16,3,,,,,,36.54,28.54,8,,,,,,,19.94,18.94,1,,,,,,,29.83,22.83,4,,1,,,,,69.45,27.45,33,,3,,,,,31.73,19.73,12,,,,,,
97,SSP,MM,197 Chermrungsee,Kasomwat,197,,,11,,1,0,,286.35,70,2,1,,,,28.22,27.22,1,,,,,,,25.13,24.13,1,,,,,,,46.32,24.32,14,1,1,,,,,25.02,24.02,1,,,,,,,27.76,19.76,3,1,,,,,,33.66,28.66,5,,,,,,,39.45,38.45,1,,,,,,,60.79,16.79,44,,,,,,
98,SSP,UN,128 Thongjerm,Wannapong,128,,,7,,1,0,Law Enforcement,287.78,80,1,3,,,,25.95,22.95,3,,,,,,,25.92,23.92,2,,,,,,,54.18,23.18,26,1,,,,,,41.45,28.45,10,,1,,,,,19.26,19.26,,,,,,,,40.29,25.29,9,,2,,,,,38.68,26.68,12,,,,,,,42.05,24.05,18,,,,,,
99,REV,SS,076 Atipanan,Somnuk,76,,,1,,1,0,Senior,288.24,49,1,,,,,27.53,24.53,3,,,,,,,28.98,27.98,1,,,,,,,44.58,22.58,22,,,,,,,39.90,22.90,12,1,,,,,,19.04,19.04,,,,,,,,34.84,30.84,4,,,,,,,52.85,50.85,2,,,,,,,40.52,35.52,5,,,,,,
100,SSP,NV,222 Promthet,Pongsakorn,222,,,3,,1,0,,290.46,93,1,2,,,,20.20,20.20,,,,,,,,24.23,20.23,4,,,,,,,72.30,26.30,46,,,,,,,49.28,27.28,11,1,2,,,,,18.79,16.79,2,,,,,,,30.94,23.94,7,,,,,,,30.66,29.66,1,,,,,,,44.06,22.06,22,,,,,,
101,ESP,NV,135 Roopkhamdee,Suphinya,135,,,8,,1,0,Lady,291.29,47,,2,,,,30.17,29.17,1,,,,,,,26.00,24.00,2,,,,,,,45.39,22.39,17,,2,,,,,32.16,25.16,7,,,,,,,23.75,20.75,3,,,,,,,37.50,35.50,2,,,,,,,28.77,27.77,1,,,,,,,67.55,53.55,14,,,,,,
102,CCP,UN,125 Whiangkham,Nitipoom,125,,,7,,1,0,Law Enforcement,294.55,40,1,,,,,27.44,26.44,1,,,,,,,27.44,26.44,1,,,,,,,42.00,26.00,11,1,,,,,,37.20,29.20,8,,,,,,,25.64,25.64,,,,,,,,40.14,35.14,5,,,,,,,36.94,35.94,1,,,,,,,57.75,44.75,13,,,,,,
103,BUG,SS,010 Phonpitakpong,Apichit,10,,,1,,1,0,,295.43,58,2,2,,,,26.22,26.22,,,,,,,,38.22,36.22,2,,,,,,,53.20,21.20,29,,1,,,,,34.45,24.45,5,1,,,,,,25.45,20.45,,1,,,,,,31.86,20.86,8,,1,,,,,42.10,41.10,1,,,,,,,43.93,30.93,13,,,,,,
104,CCP,MM,004  -,Law Yu Ying,4,,,1,,1,0,Senior,295.96,52,3,3,,,,45.80,33.80,9,,1,,,,,23.80,22.80,1,,,,,,,43.92,31.92,7,1,,,,,,36.65,28.65,8,,,,,,,30.52,20.52,,2,,,,,,33.77,30.77,3,,,,,,,52.33,25.33,21,,2,,,,,29.17,26.17,3,,,,,,
105,CCP,MM,026 Pemchat,Sarat,26,,,2,,1,0,Law Enforcement,296.03,49,,,,,,28.83,27.83,1,,,,,,,22.67,21.67,1,,,,,,,53.65,25.65,28,,,,,,,34.54,29.54,5,,,,,,,29.52,28.52,1,,,,,,,37.38,35.38,2,,,,,,,45.86,43.86,2,,,,,,,43.58,34.58,9,,,,,,
106,ESP,MM,052 Vinagupta,Tanmanaphat,52,,,3,,1,0,,298.28,55,3,3,,,,24.70,24.70,,,,,,,,26.44,26.44,,,,,,,,43.12,22.12,18,,1,,,,,51.64,37.64,9,1,,,,,,34.12,24.12,,2,,,,,,26.62,25.62,1,,,,,,,54.40,28.40,20,,2,,,,,37.24,30.24,7,,,,,,
107,CDP,UN,091 Suk-on,Thanakrit,91,,,5,,1,0,,299.41,50,,,,,,45.72,45.72,,,,,,,,31.70,31.70,,,,,,,,38.32,24.32,14,,,,,,,41.98,27.98,14,,,,,,,23.20,23.20,,,,,,,,38.97,34.97,4,,,,,,,36.12,36.12,,,,,,,,43.40,25.40,18,,,,,,
108,SSP,NV,117 Bhutapeng,Wuttipun,117,,,7,,1,0,Law Enforcement,300.06,63,,4,,,,30.30,27.30,,,1,,,,,30.30,27.30,,,1,,,,,50.26,23.26,24,,1,,,,,37.80,28.80,9,,,,,,,18.50,18.50,,,,,,,,33.53,31.53,2,,,,,,,53.68,39.68,11,,1,,,,,45.69,28.69,17,,,,,,
109,BUG,SS,196 Plangwittaya,Somchay,196,,,11,,1,0,,300.32,80,2,6,,,,33.67,27.67,6,,,,,,,56.32,29.32,21,,2,,,,,41.54,20.54,11,2,,,,,,27.47,24.47,,,1,,,,,19.11,19.11,,,,,,,,31.04,26.04,5,,,,,,,63.87,24.87,30,,3,,,,,27.30,20.30,7,,,,,,
110,BUG,MM,150 Pansuwan,Tanaphat,150,,,8,,1,0,,303.48,107,,,,,,31.62,23.62,8,,,,,,,36.66,21.66,15,,,,,,,51.91,36.91,15,,,,,,,38.95,18.95,20,,,,,,,21.65,17.65,4,,,,,,,41.48,26.48,15,,,,,,,36.91,29.91,7,,,,,,,44.30,21.30,23,,,,,,
111,CCP,MM,148 Numsamlee,Anumas,148,,,8,,1,0,,303.99,61,2,2,,,,27.03,27.03,,,,,,,,27.05,27.05,,,,,,,,41.55,22.55,14,1,,,,,,37.75,27.75,5,1,,,,,,27.33,21.33,,,2,,,,,42.27,31.27,11,,,,,,,48.88,41.88,7,,,,,,,52.13,28.13,24,,,,,,
112,CCP,UN,124 Sukpaiboon,Thammarat,124,,,7,,1,0,Law Enforcement,304.28,45,1,1,,,,33.16,33.16,,,,,,,,33.16,33.16,,,,,,,,51.68,23.68,28,,,,,,,50.56,38.56,4,1,1,,,,,22.78,22.78,,,,,,,,29.09,27.09,2,,,,,,,34.40,32.40,2,,,,,,,49.45,40.45,9,,,,,,
113,BUG,SS,174 Sri,Precha,174,,,10,,1,0,Law Enforcement,305.11,36,1,,,,,35.77,34.77,1,,,,,,,29.71,28.71,1,,,,,,,30.50,23.50,7,,,,,,,30.40,21.40,9,,,,,,,36.26,31.26,,1,,,,,,51.12,47.12,4,,,,,,,36.55,35.55,1,,,,,,,54.80,41.80,13,,,,,,
114,SSP,NV,202 Masathirakul,Arthit,202,,,11,,1,0,Senior,305.47,60,1,1,,,,29.55,29.55,,,,,,,,27.33,26.33,1,,,,,,,57.53,26.53,23,1,1,,,,,33.64,26.64,7,,,,,,,22.40,22.40,,,,,,,,33.42,30.42,3,,,,,,,38.43,36.43,2,,,,,,,63.17,39.17,24,,,,,,
115,SSP,NV,181 Noraphet,Komchan,181,,,10,,1,0,Law Enforcement,309.10,73,1,,,,,26.50,26.50,,,,,,,,30.90,28.90,2,,,,,,,45.89,18.89,22,1,,,,,,32.72,25.72,7,,,,,,,24.22,24.22,,,,,,,,37.66,27.66,10,,,,,,,56.46,55.46,1,,,,,,,54.75,23.75,31,,,,,,
