Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF,Stage 7 Time,Stage 7 String 1,Stage 7 String 2,Stage 7 String 3,Stage 7 PD,Stage 7 Hits on Non-Threat,Stage 7 Procedural Error,Stage 7 Failure to Do Right,Stage 7 Flagrant,Stage 7 Finger PE,Stage 7 DNF,Stage 8 Time,Stage 8 String 1,Stage 8 PD,Stage 8 Hits on Non-Threat,Stage 8 Procedural Error,Stage 8 Failure to Do Right,Stage 8 Flagrant,Stage 8 Finger PE,Stage 8 DNF,Stage 9 Time,Stage 9 String 1,Stage 9 PD,Stage 9 Hits on Non-Threat,Stage 9 Procedural Error,Stage 9 Failure to Do Right,Stage 9 Flagrant,Stage 9 Finger PE,Stage 9 DNF,Stage 10 Time,Stage 10 String 1,Stage 10 PD,Stage 10 Hits on Non-Threat,Stage 10 Procedural Error,Stage 10 Failure to Do Right,Stage 10 Flagrant,Stage 10 Finger PE,Stage 10 DNF
dnf,CO,MM,067 Patasema,Makkawan,TH1021322,,,8,,0,1,,174.80,12,,,,,,20.80,19.80,1,,,,,,,21.63,20.63,1,,,,,,,12.95,12.95,,,,,,,,15.04,14.04,1,,,,,,,14.89,14.89,,,,,,,,19.74,17.74,2,,,,,,,,,,,,,,,,,1,20.67,18.67,2,,,,,,,22.01,22.01,,,,,,,,27.07,22.07,5,,,,,,
dnf,ESP,NV,040 Trakulso,Nopparat,,,,10,,0,1,,221.04,29,1,1,,,,18.65,18.65,,,,,,,,39.92,26.92,10,,1,,,,,17.56,17.56,,,,,,,,20.87,13.87,7,,,,,,,24.06,22.06,2,,,,,,,22.88,17.88,5,,,,,,,25.04,9.02,5.82,7.20,3,,,,,,,24.25,19.25,,1,,,,,,,,,,,,,,1,27.81,25.81,2,,,,,,
dnf,SSP,NV,098 Niyomna,Sakchai,TH258802,,,11,,0,1,Senior,173.99,20,,1,,,,35.30,30.30,2,,1,,,,,31.62,31.62,,,,,,,,24.53,22.53,2,,,,,,,23.95,15.95,8,,,,,,,28.32,21.32,7,,,,,,,30.27,29.27,1,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,PCC,EX,084 Tritipayapong,Panachai,TH1022091,,,9,,0,1,,139.83,14,,,,,,20.93,19.93,1,,,,,,,26.89,26.89,,,,,,,,12.62,10.62,2,,,,,,,10.49,9.49,1,,,,,,,17.35,12.35,5,,,,,,,17.38,15.38,2,,,,,,,,,,,,,,,,,1,,,,,,,,,1,16.24,15.24,1,,,,,,,17.93,15.93,2,,,,,,
dnf,BUG,MM,070 Pathasema,Sombat,TH1020521,,,8,,0,1,Senior,294.53,39,,1,,,,31.34,26.34,2,,1,,,,,29.30,29.30,,,,,,,,26.44,22.44,4,,,,,,,24.78,20.78,4,,,,,,,42.44,32.44,10,,,,,,,42.19,32.19,10,,,,,,,,,,,,,,,,,1,25.47,24.47,1,,,,,,,35.12,31.12,4,,,,,,,37.45,33.45,4,,,,,,
dnf,SSP,MM,077 Ondee,Thiraphat,,,,9,,0,1,Law Enforcement,263.12,50,,1,,,,23.95,20.95,3,,,,,,,27.41,24.41,3,,,,,,,20.80,18.80,2,,,,,,,16.32,14.32,2,,,,,,,38.61,22.61,13,,1,,,,,28.63,23.63,5,,,,,,,48.05,12.12,7.49,11.44,17,,,,,,,,,,,,,,,1,35.06,32.06,3,,,,,,,24.29,22.29,2,,,,,,
dnf,PCC,MM,079 Tinnarat,Apichat,,,,9,,0,1,,153.01,9,1,,,,,25.40,25.40,,,,,,,,20.30,20.30,,,,,,,,19.39,12.39,2,1,,,,,,14.04,13.04,1,,,,,,,22.13,22.13,,,,,,,,16.53,14.53,2,,,,,,,,,,,,,,,,,1,,,,,,,,,1,17.79,15.79,2,,,,,,,17.43,15.43,2,,,,,,
dnf,CO,NV,078 Rachatamongkol,Pongpohn,,,,9,,0,1,Law Enforcement,256.10,46,,7,,,,20.06,20.06,,,,,,,,21.62,21.62,,,,,,,,23.22,21.22,2,,,,,,,14.75,12.75,2,,,,,,,26.52,23.52,3,,,,,,,21.85,19.85,2,,,,,,,,,,,,,,,,,1,,,,,,,,,1,104.90,48.90,35,,7,,,,,23.18,21.18,2,,,,,,
dnf,SSP,MA,066 Pimchue,Montree,TH1019955,,,8,,0,1,Law Enforcement,140.01,13,,,,,,14.27,14.27,,,,,,,,17.74,15.74,2,,,,,,,12.18,10.18,2,,,,,,,13.73,11.73,2,,,,,,,15.30,13.30,2,,,,,,,17.47,15.47,2,,,,,,,,,,,,,,,,,1,15.00,15.00,,,,,,,,18.28,17.28,1,,,,,,,16.04,14.04,2,,,,,,
dnf,SSP,NV,074 Saengsawang,Pheuttikorn,,,,8,,0,1,,263.68,31,,,,,,28.51,26.51,2,,,,,,,27.60,25.60,2,,,,,,,14.81,14.81,,,,,,,,22.80,19.80,3,,,,,,,41.73,36.73,5,,,,,,,30.54,27.54,3,,,,,,,,,,,,,,,,,1,18.23,18.23,,,,,,,,35.70,31.70,4,,,,,,,43.76,31.76,12,,,,,,
dnf,CCP,NV,092 Amronpraseat,Montri,,,,10,,0,1,,567.27,223,2,4,,,,,,,,,,,,1,68.28,41.28,21,,2,,,,,56.65,28.65,28,,,,,,,42.58,27.58,15,,,,,,,66.36,42.36,24,,,,,,,49.92,33.92,13,,1,,,,,88.75,12.47,8.15,10.13,58,,,,,,,63.89,46.89,17,,,,,,,51.81,34.81,12,1,,,,,,79.03,36.03,35,1,1,,,,
dnf,CCP,EX,011 Yingsirithananont,Athipatch,,,,1,,0,1,,186.98,16,,,,,,17.37,17.37,,,,,,,,22.95,21.95,1,,,,,,,14.53,14.53,,,,,,,,16.53,11.53,5,,,,,,,18.70,17.70,1,,,,,,,30.51,29.51,1,,,,,,,28.49,11.21,5.06,5.22,7,,,,,,,18.05,17.05,1,,,,,,,19.85,19.85,,,,,,,,,,,,,,,,1
dnf,SSP,MA,001 Srirongmuang,Siam,,,,1,,0,1,,159.33,23,,,,,,15.65,15.65,,,,,,,,18.84,17.84,1,,,,,,,10.28,10.28,,,,,,,,11.17,9.17,2,,,,,,,21.05,14.05,7,,,,,,,17.72,15.72,2,,,,,,,33.65,10.13,4.62,9.90,9,,,,,,,14.06,13.06,1,,,,,,,16.91,15.91,1,,,,,,,,,,,,,,,1
dnf,ESP,EX,010 Tanopajaisot,Nuntachai,,,,1,,0,1,,163.89,13,,,,,,19.35,19.35,,,,,,,,20.33,20.33,,,,,,,,13.60,13.60,,,,,,,,12.85,11.85,1,,,,,,,24.00,16.00,8,,,,,,,17.79,15.79,2,,,,,,,21.96,10.87,4.74,5.35,1,,,,,,,16.13,16.13,,,,,,,,17.88,16.88,1,,,,,,,,,,,,,,,1
dnf,SSP,MM,076 Kongpet,Sawapat,TH1021637,,,9,,0,1,Law Enforcement,244.84,31,,,,,,21.58,21.58,,,,,,,,26.56,26.56,,,,,,,,17.52,12.52,5,,,,,,,19.90,16.90,3,,,,,,,34.91,32.91,2,,,,,,,30.21,27.21,3,,,,,,,41.66,12.05,7.81,8.80,13,,,,,,,,,,,,,,,1,28.62,27.62,1,,,,,,,23.88,19.88,4,,,,,,
dnf,SSP,NV,096 Phutipongseth,Thanawat,,,,10,,0,1,,283.66,62,2,,,,,25.42,25.42,,,,,,,,29.81,28.81,1,,,,,,,33.72,18.72,5,2,,,,,,26.12,18.12,8,,,,,,,36.82,23.82,13,,,,,,,31.79,25.79,6,,,,,,,51.98,12.42,7.59,10.97,21,,,,,,,18.83,17.83,1,,,,,,,,,,,,,,,1,29.17,22.17,7,,,,,,
dq,SSP,NV,036 YI,KAKA,,,,4,,0,1,International,0.00,24,,1,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dq,CCP,MM,097 Limotai,Kitti,,,,10,,0,1,Distinguished Senior,0.00,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,
dq,PCC,UN,022 Phongphrom,Vatcharaphorn,,,,2,,0,1,,0.00,1,6,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dq,ESP,UN,018 Paekuamdee,Tumrongsak,,,,2,,0,1,,0.00,174,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
dq,CCP,NV,007 Maneechansuk,Isawan,,,,1,,0,1,Junior,0.00,60,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dq,CCP,NV,037 WANG,YUNHONG,,,,4,,0,1,International,0.00,66,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dq,CCP,NV,091 Samitisirisuk,Dan,,,,10,,0,1,,0.00,17,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,
