Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF,Stage 7 Time,Stage 7 String 1,Stage 7 String 2,Stage 7 String 3,Stage 7 PD,Stage 7 Hits on Non-Threat,Stage 7 Procedural Error,Stage 7 Failure to Do Right,Stage 7 Flagrant,Stage 7 Finger PE,Stage 7 DNF,Stage 8 Time,Stage 8 String 1,Stage 8 PD,Stage 8 Hits on Non-Threat,Stage 8 Procedural Error,Stage 8 Failure to Do Right,Stage 8 Flagrant,Stage 8 Finger PE,Stage 8 DNF,Stage 9 Time,Stage 9 String 1,Stage 9 PD,Stage 9 Hits on Non-Threat,Stage 9 Procedural Error,Stage 9 Failure to Do Right,Stage 9 Flagrant,Stage 9 Finger PE,Stage 9 DNF,Stage 10 Time,Stage 10 String 1,Stage 10 PD,Stage 10 Hits on Non-Threat,Stage 10 Procedural Error,Stage 10 Failure to Do Right,Stage 10 Flagrant,Stage 10 Finger PE,Stage 10 DNF
12,CCP,EX,002 Deesomsak,Nut,,,,1,,1,0,,213.42,22,,,,,,18.83,18.83,,,,,,,,21.45,21.45,,,,,,,,20.27,17.27,3,,,,,,,15.03,13.03,2,,,,,,,26.14,24.14,2,,,,,,,21.46,18.46,3,,,,,,,25.57,8.78,5.07,5.72,6,,,,,,,16.26,16.26,,,,,,,,25.01,22.01,3,,,,,,,23.40,20.40,3,,,,,,
13,SSP,NV,008 -,Moni,,,,1,,1,0,International,216.15,10,,,,,,23.78,23.78,,,,,,,,23.81,23.81,,,,,,,,17.65,17.65,,,,,,,,14.64,13.64,1,,,,,,,22.81,20.81,2,,,,,,,29.24,26.24,3,,,,,,,23.42,10.12,6.09,7.21,,,,,,,,14.52,14.52,,,,,,,,23.84,21.84,2,,,,,,,22.44,20.44,2,,,,,,
14,ESP,NV,005 DITSARANONTA,NITITORN,,,,1,,1,0,,216.74,20,1,,,,,19.44,19.44,,,,,,,,23.39,22.39,1,,,,,,,22.47,15.47,2,1,,,,,,12.53,11.53,1,,,,,,,22.80,21.80,1,,,,,,,22.11,20.11,2,,,,,,,30.19,11.18,5.68,6.33,7,,,,,,,18.19,18.19,,,,,,,,24.15,21.15,3,,,,,,,21.47,18.47,3,,,,,,
15,PCC,NV,051 Muanthong,Nutthawat(Sgt.),,,,7,,1,0,,217.28,1,,,,,,22.69,22.69,,,,,,,,28.50,28.50,,,,,,,,17.66,16.66,1,,,,,,,13.39,13.39,,,,,,,,22.30,22.30,,,,,,,,25.31,25.31,,,,,,,,20.82,9.31,5.47,6.04,,,,,,,,19.32,19.32,,,,,,,,25.98,25.98,,,,,,,,21.31,21.31,,,,,,,
16,CDP,MA,099 Kotthanu,Yodsapol,TH318253,,,11,,1,0,Senior,218.06,12,1,,,,,22.03,22.03,,,,,,,,25.02,25.02,,,,,,,,16.82,16.82,,,,,,,,11.74,10.74,1,,,,,,,18.43,18.43,,,,,,,,27.56,25.56,2,,,,,,,23.12,7.85,4.12,6.15,5,,,,,,,18.71,17.71,1,,,,,,,27.14,26.14,1,,,,,,,27.49,20.49,2,1,,,,,
17,SSP,MM,028 Tuck,David,TH1004550,,,3,,1,0,Senior,218.22,20,,1,,,,20.10,20.10,,,,,,,,23.50,23.50,,,,,,,,13.76,12.76,1,,,,,,,17.22,10.22,7,,,,,,,16.75,15.75,1,,,,,,,26.73,22.73,4,,,,,,,31.03,11.41,5.68,7.94,6,,,,,,,19.11,19.11,,,,,,,,23.26,22.26,1,,,,,,,26.76,23.76,,,1,,,,
18,ESP,MM,024 Chuklin,Thanachai,TH1008788,,,3,,1,0,Senior,218.72,17,,,,,,22.67,19.67,3,,,,,,,23.59,23.59,,,,,,,,15.92,14.92,1,,,,,,,15.23,13.23,2,,,,,,,19.30,19.30,,,,,,,,25.33,22.33,3,,,,,,,30.64,12.52,5.71,7.41,5,,,,,,,21.89,21.89,,,,,,,,21.92,20.92,1,,,,,,,22.23,20.23,2,,,,,,
19,CDP,MM,032 Adchariyayot,Kriengsak,TH790857,,,3,,1,0,,221.58,24,,,,,,18.85,18.85,,,,,,,,25.12,24.12,1,,,,,,,17.90,16.90,1,,,,,,,12.66,11.66,1,,,,,,,22.13,22.13,,,,,,,,26.73,25.73,1,,,,,,,32.20,9.92,5.12,5.16,12,,,,,,,17.23,16.23,1,,,,,,,23.77,21.77,2,,,,,,,24.99,19.99,5,,,,,,
20,ESP,SS,023 Thumweerayothin,Thossapoom,TH1008082,,,3,,1,0,,222.73,44,,,,,,18.74,18.74,,,,,,,,26.06,24.06,2,,,,,,,17.73,13.73,4,,,,,,,22.02,11.02,11,,,,,,,25.62,23.62,2,,,,,,,22.08,17.08,5,,,,,,,21.28,8.44,4.66,6.18,2,,,,,,,20.63,14.63,6,,,,,,,21.85,15.85,6,,,,,,,26.72,20.72,6,,,,,,
21,BUG,SS,055 LERTSONGSAK,EKACHAI,TH1019347,,,6,,1,0,,240.42,9,,,,,,29.22,28.22,1,,,,,,,25.42,25.42,,,,,,,,18.53,17.53,1,,,,,,,17.05,17.05,,,,,,,,28.57,24.57,4,,,,,,,26.19,25.19,1,,,,,,,25.93,8.85,7.85,9.23,,,,,,,,18.72,18.72,,,,,,,,25.92,23.92,2,,,,,,,24.87,24.87,,,,,,,
22,BUG,EX,065 Pansuwan,Tanapat,TH1017917,,,7,,1,0,,241.72,46,,1,,,,22.76,19.76,,,1,,,,,27.05,22.05,5,,,,,,,20.00,14.00,6,,,,,,,33.15,12.15,21,,,,,,,23.75,23.75,,,,,,,,27.25,22.25,5,,,,,,,27.07,9.31,5.77,5.99,6,,,,,,,17.23,17.23,,,,,,,,20.84,19.84,1,,,,,,,22.62,20.62,2,,,,,,
23,REV,SS,062 Atipanan,Somnuk,TH657095,,,7,,1,0,"Senior,Stage Enterprises",243.05,20,,1,,,,25.52,22.52,,,1,,,,,25.52,25.52,,,,,,,,17.83,16.83,1,,,,,,,14.80,13.80,1,,,,,,,25.76,24.76,1,,,,,,,29.00,28.00,1,,,,,,,25.28,8.78,4.70,5.80,6,,,,,,,22.63,21.63,1,,,,,,,26.59,22.59,4,,,,,,,30.12,25.12,5,,,,,,
24,ESP,MM,014 Sabankluai,Pakdee,TH1020129,,,2,,1,0,Law Enforcement,246.22,4,1,2,,,,21.35,21.35,,,,,,,,29.28,29.28,,,,,,,,22.65,22.65,,,,,,,,16.44,16.44,,,,,,,,20.25,20.25,,,,,,,,29.09,26.09,,,1,,,,,23.95,10.41,5.92,6.62,1,,,,,,,28.81,20.81,,1,1,,,,,27.97,26.97,1,,,,,,,26.43,24.43,2,,,,,,
25,CCP,SS,034 GANG,HAN,,,,4,,1,0,International,246.42,36,,2,,,,18.68,14.68,1,,1,,,,,22.76,18.76,4,,,,,,,21.22,20.22,1,,,,,,,19.34,12.34,7,,,,,,,34.14,28.14,6,,,,,,,20.49,18.49,2,,,,,,,50.08,9.77,4.66,25.65,7,,1,,,,,19.84,17.84,2,,,,,,,22.74,18.74,4,,,,,,,17.13,15.13,2,,,,,,
26,CCP,NV,006 Maneechansuk,Ekkaphong,,,,1,,1,0,,246.79,26,,,,,,17.15,17.15,,,,,,,,24.81,21.81,3,,,,,,,25.05,25.05,,,,,,,,38.94,32.94,6,,,,,,,19.59,18.59,1,,,,,,,26.42,20.42,6,,,,,,,20.50,8.58,5.16,5.76,1,,,,,,,18.80,18.80,,,,,,,,29.74,24.74,5,,,,,,,25.79,21.79,4,,,,,,
27,SPD,ALL,061 Roopkhamdee,Suphinya,TH1011789,,,7,,1,0,,246.92,18,,,,,,18.13,17.13,1,,,,,,,22.90,21.90,1,,,,,,,14.82,13.82,1,,,,,,,17.27,10.27,7,,,,,,,20.84,18.84,2,,,,,,,17.84,17.84,,,,,,,,25.80,8.12,4.82,6.86,6,,,,,,,15.38,15.38,,,,,,,,76.45,76.45,,,,,,,,17.49,17.49,,,,,,,
28,PCC,UN,063 Jamprungam,Boonsit,,,,7,,1,0,,247.44,7,2,,,,,23.02,18.02,,1,,,,,,29.24,28.24,1,,,,,,,14.13,14.13,,,,,,,,14.10,14.10,,,,,,,,14.96,13.96,1,,,,,,,25.94,20.94,,1,,,,,,33.22,23.48,4.01,5.73,,,,,,,,21.58,21.58,,,,,,,,49.48,48.48,1,,,,,,,21.77,17.77,4,,,,,,
29,SSP,UN,042 CHOOWASSAWATTAPAT,KRIT(ACDT.),,,,7,,1,0,Military,247.74,39,1,,,,,25.75,24.75,1,,,,,,,31.14,26.14,5,,,,,,,18.38,17.38,1,,,,,,,23.40,13.40,10,,,,,,,20.22,18.22,2,,,,,,,35.86,25.86,5,1,,,,,,30.27,7.77,5.18,7.32,10,,,,,,,17.23,16.23,1,,,,,,,24.02,23.02,1,,,,,,,21.47,18.47,3,,,,,,
30,SSP,MM,094 Bhutapeng,Wuttipun,,,,10,,1,0,Military,255.41,13,,,,,,21.21,21.21,,,,,,,,25.72,25.72,,,,,,,,19.61,17.61,2,,,,,,,21.81,18.81,3,,,,,,,25.09,23.09,2,,,,,,,28.76,26.76,2,,,,,,,30.75,13.46,7.83,9.46,,,,,,,,17.04,17.04,,,,,,,,35.36,34.36,1,,,,,,,30.06,27.06,3,,,,,,
31,CCP,SS,030 Park,Chang,TH1019366,,,3,,1,0,,255.73,35,1,,,,,23.48,23.48,,,,,,,,27.46,25.46,2,,,,,,,29.24,21.24,3,1,,,,,,12.87,12.87,,,,,,,,26.28,23.28,3,,,,,,,25.96,21.96,4,,,,,,,32.17,9.00,6.25,6.92,10,,,,,,,19.53,19.53,,,,,,,,30.42,23.42,7,,,,,,,28.32,22.32,6,,,,,,
32,CDP,SS,056 Hijacker,Winday,,,,7,,1,0,Military,260.49,22,,1,,,,28.16,27.16,1,,,,,,,31.83,30.83,1,,,,,,,17.21,17.21,,,,,,,,15.52,13.52,2,,,,,,,35.89,21.89,11,,1,,,,,29.68,29.68,,,,,,,,27.19,8.93,5.77,8.49,4,,,,,,,18.00,18.00,,,,,,,,28.13,27.13,1,,,,,,,28.88,26.88,2,,,,,,
33,SSP,NV,033 Tipwanngam,Sakulrat,,,,3,,1,0,Lady,261.55,33,1,,,,,24.40,24.40,,,,,,,,28.32,26.32,2,,,,,,,22.65,16.65,1,1,,,,,,35.14,15.14,20,,,,,,,22.52,20.52,2,,,,,,,26.66,25.66,1,,,,,,,30.36,14.26,6.29,9.81,,,,,,,,17.83,17.83,,,,,,,,30.21,26.21,4,,,,,,,23.46,20.46,3,,,,,,
34,CO,NV,025 Yongying,Pradya,TH1019877,,,3,,1,0,,266.62,26,4,,,,,20.54,19.54,1,,,,,,,37.48,27.48,,2,,,,,,23.72,20.72,3,,,,,,,19.50,19.50,,,,,,,,28.97,21.97,7,,,,,,,25.62,19.62,6,,,,,,,29.69,11.24,7.29,9.16,2,,,,,,,18.67,18.67,,,,,,,,38.47,23.47,5,2,,,,,,23.96,21.96,2,,,,,,
35,CDP,EX,087 Nasimma,Gong,TH0006,,,10,,1,0,,268.02,12,,1,,,,25.64,22.64,,,1,,,,,25.62,25.62,,,,,,,,19.69,19.69,,,,,,,,19.48,19.48,,,,,,,,29.51,28.51,1,,,,,,,46.90,41.90,5,,,,,,,26.39,10.10,5.43,5.86,5,,,,,,,22.45,22.45,,,,,,,,24.50,23.50,1,,,,,,,27.84,27.84,,,,,,,
36,SSP,NV,090 Sodsomta,Phennapa,TH1019245,,,10,,1,0,Lady,269.57,18,,,,,,20.95,20.95,,,,,,,,30.19,25.19,5,,,,,,,17.64,15.64,2,,,,,,,22.47,21.47,1,,,,,,,34.73,31.73,3,,,,,,,28.73,26.73,2,,,,,,,39.25,14.58,9.02,10.65,5,,,,,,,18.38,18.38,,,,,,,,30.13,30.13,,,,,,,,27.10,27.10,,,,,,,
37,SSP,SS,015 Boon Chin,Tai,TH1013662,,,2,,1,0,International,276.72,30,2,,,,,22.41,22.41,,,,,,,,28.69,28.69,,,,,,,,23.68,22.68,1,,,,,,,20.79,17.79,3,,,,,,,26.16,19.16,7,,,,,,,29.62,27.62,2,,,,,,,40.87,10.20,6.82,9.85,14,,,,,,,15.84,15.84,,,,,,,,30.70,23.70,2,1,,,,,,37.96,31.96,1,1,,,,,
38,SSP,MM,050 Dongmei,Zheng,CN512783,,,5,,1,0,"Lady,International",278.65,53,,,,,,25.08,25.08,,,,,,,,34.39,33.39,1,,,,,,,17.73,16.73,1,,,,,,,19.21,14.21,5,,,,,,,30.65,15.65,15,,,,,,,29.35,22.35,7,,,,,,,37.43,11.39,5.16,8.88,12,,,,,,,19.29,16.29,3,,,,,,,32.31,26.31,6,,,,,,,33.21,30.21,3,,,,,,
39,CDP,SS,093 Wisapandsa,Sakda,TH338706,,,10,,1,0,,285.16,28,,1,,,,30.44,29.44,1,,,,,,,28.89,27.89,1,,,,,,,20.13,17.13,3,,,,,,,24.57,22.57,2,,,,,,,34.58,30.58,4,,,,,,,31.25,27.25,1,,1,,,,,44.39,13.46,7.79,14.14,9,,,,,,,18.57,17.57,1,,,,,,,24.04,22.04,2,,,,,,,28.30,24.30,4,,,,,,
40,ESP,MM,012 Stityuthakarn,Pasakorn,,,,2,,1,0,Senior,285.45,27,,,,,,23.42,23.42,,,,,,,,30.71,29.71,1,,,,,,,20.07,20.07,,,,,,,,15.42,15.42,,,,,,,,30.29,28.29,2,,,,,,,32.24,28.24,4,,,,,,,49.86,15.89,6.25,9.72,18,,,,,,,25.16,25.16,,,,,,,,29.41,29.41,,,,,,,,28.87,26.87,2,,,,,,
41,CO,NV,029 Spiegel,Marc,TH1006847,,,3,,1,0,"Senior,International",285.87,44,,1,,,,25.70,24.70,1,,,,,,,29.37,29.37,,,,,,,,22.31,21.31,1,,,,,,,16.47,12.47,4,,,,,,,34.89,18.89,13,,1,,,,,25.59,22.59,3,,,,,,,48.22,14.82,5.59,10.81,17,,,,,,,23.76,23.76,,,,,,,,28.18,26.18,2,,,,,,,31.38,28.38,3,,,,,,
42,SSP,SS,089 Kruangpath,Thirakun,,,,10,,1,0,Military,298.17,37,,1,,,,39.37,36.37,,,1,,,,,27.42,27.42,,,,,,,,18.19,18.19,,,,,,,,17.54,16.54,1,,,,,,,34.64,29.64,5,,,,,,,27.53,24.53,3,,,,,,,63.04,10.79,6.73,20.52,25,,,,,,,20.81,20.81,,,,,,,,26.91,23.91,3,,,,,,,22.72,22.72,,,,,,,
43,REV,EX,031 Klinhom,Arthit,,,,3,,1,0,Senior,301.62,22,,,,,,24.31,24.31,,,,,,,,29.95,28.95,1,,,,,,,19.30,18.30,1,,,,,,,20.76,19.76,1,,,,,,,40.93,40.93,,,,,,,,29.59,24.59,5,,,,,,,55.10,19.47,5.24,21.39,9,,,,,,,22.19,22.19,,,,,,,,30.21,27.21,3,,,,,,,29.28,27.28,2,,,,,,
44,BUG,EX,054 NAKKAEW,NAT,TH1000348,,,6,,1,0,,302.80,23,,,,,,26.55,26.55,,,,,,,,38.78,38.78,,,,,,,,20.27,20.27,,,,,,,,25.50,20.50,5,,,,,,,32.23,31.23,1,,,,,,,32.77,30.77,2,,,,,,,27.36,11.39,7.00,6.97,2,,,,,,,24.75,24.75,,,,,,,,45.77,33.77,12,,,,,,,28.82,27.82,1,,,,,,
45,SSP,NV,064 Akavipat,Vijitsiri,TH258658,,,7,,1,0,"Lady,Stage Enterprises",306.04,38,1,,,,,24.75,23.75,1,,,,,,,29.73,28.73,1,,,,,,,21.25,21.25,,,,,,,,26.06,13.06,13,,,,,,,24.62,22.62,2,,,,,,,61.21,57.21,4,,,,,,,32.05,12.86,5.99,7.20,6,,,,,,,17.84,17.84,,,,,,,,34.41,27.41,7,,,,,,,34.12,25.12,4,1,,,,,
46,SSP,UN,048 Rangsimavisrut,Varut,,,,5,,1,0,,307.72,36,1,1,,,,25.38,24.38,1,,,,,,,30.46,30.46,,,,,,,,22.93,21.93,1,,,,,,,30.25,19.25,11,,,,,,,39.67,27.67,7,1,,,,,,33.07,27.07,6,,,,,,,47.78,16.16,11.49,12.13,8,,,,,,,19.75,19.75,,,,,,,,31.31,28.31,,,1,,,,,27.12,25.12,2,,,,,,
47,ESP,NV,016 Lertkajornkitti,Thapana,,,,2,,1,0,,314.84,27,,1,,,,25.75,24.75,1,,,,,,,37.10,37.10,,,,,,,,27.05,22.05,5,,,,,,,22.60,21.60,1,,,,,,,41.71,38.71,3,,,,,,,32.91,32.91,,,,,,,,48.60,15.55,9.09,9.96,11,,1,,,,,21.25,21.25,,,,,,,,27.65,26.65,1,,,,,,,30.22,25.22,5,,,,,,
48,CCP,UN,039 JiaYun,Li,CN1020127,,,4,,1,0,"Junior,International",316.14,71,,2,,,,25.87,22.87,,,1,,,,,31.52,29.52,2,,,,,,,19.39,18.39,1,,,,,,,33.81,18.81,15,,,,,,,44.70,26.70,18,,,,,,,30.79,24.79,3,,1,,,,,50.80,10.62,5.53,8.65,26,,,,,,,23.27,23.27,,,,,,,,32.58,26.58,6,,,,,,,23.41,23.41,,,,,,,
49,CCP,MM,009 Yarangsee,Nitima,,,,1,,1,0,"Lady,Law Enforcement",325.85,47,,3,,,,27.60,27.60,,,,,,,,50.80,34.80,10,,2,,,,,27.67,24.67,3,,,,,,,17.93,15.93,2,,,,,,,36.58,33.58,3,,,,,,,30.95,28.95,2,,,,,,,33.41,12.23,5.42,9.76,6,,,,,,,23.65,23.65,,,,,,,,38.16,27.16,11,,,,,,,39.10,26.10,10,,1,,,,
50,CCP,UN,047 Homchaaern,Thanadech,,,,5,,1,0,,334.14,45,1,5,,,,24.73,24.73,,,,,,,,32.22,32.22,,,,,,,,27.39,26.39,1,,,,,,,20.12,20.12,,,,,,,,33.95,27.95,6,,,,,,,32.99,27.99,2,,1,,,,,36.58,13.72,8.07,8.79,6,,,,,,,27.02,27.02,,,,,,,,60.22,22.22,26,,4,,,,,38.92,29.92,4,1,,,,,
51,CCP,NV,035 WANG,TOMMY,,,,4,,1,0,International,344.42,105,2,4,,,,24.69,18.69,,,2,,,,,33.54,20.54,13,,,,,,,32.98,18.98,14,,,,,,,26.14,25.14,1,,,,,,,48.12,30.12,18,,,,,,,28.05,18.05,7,,1,,,,,52.86,12.53,5.78,6.55,28,,,,,,,34.62,19.62,2,2,1,,,,,32.21,21.21,11,,,,,,,31.21,20.21,11,,,,,,
52,CCP,NV,038 Ma,Yue,TH1020012,,,4,,1,0,International,344.87,38,,2,,,,34.25,34.25,,,,,,,,39.36,38.36,1,,,,,,,29.28,25.28,4,,,,,,,32.16,30.16,2,,,,,,,46.73,45.73,1,,,,,,,35.30,25.30,4,,2,,,,,41.61,9.37,5.28,6.96,20,,,,,,,24.32,23.32,1,,,,,,,31.26,29.26,2,,,,,,,30.60,27.60,3,,,,,,
53,CCP,NV,057 Geerahem,Mathat,TH1019992,,,6,,1,0,,346.23,37,3,1,,,,28.52,28.52,,,,,,,,31.70,31.70,,,,,,,,24.48,24.48,,,,,,,,23.81,17.81,6,,,,,,,41.71,38.71,3,,,,,,,31.37,28.37,3,,,,,,,48.67,11.64,8.60,8.43,20,,,,,,,30.15,22.15,,1,1,,,,,44.97,38.97,1,1,,,,,,40.85,31.85,4,1,,,,,
54,CDP,NV,027 Jaiaree,Amornthep,TH1020192,,,3,,1,0,Senior,346.63,19,1,,,,,37.48,37.48,,,,,,,,38.20,38.20,,,,,,,,27.33,21.33,1,1,,,,,,23.14,23.14,,,,,,,,35.36,35.36,,,,,,,,35.23,35.23,,,,,,,,54.62,13.30,7.15,20.17,14,,,,,,,27.37,27.37,,,,,,,,35.75,33.75,2,,,,,,,32.15,30.15,2,,,,,,
55,CO,UN,021 Assawawongthada,Sarunrhat,,,,2,,1,0,Lady,347.39,72,1,2,,,,42.72,35.72,2,1,,,,,,31.15,28.15,3,,,,,,,36.87,22.87,14,,,,,,,31.25,14.25,17,,,,,,,28.41,25.41,3,,,,,,,31.86,28.86,3,,,,,,,37.97,10.28,5.50,14.19,8,,,,,,,27.49,22.49,2,,1,,,,,35.44,30.44,5,,,,,,,44.23,26.23,15,,1,,,,
56,SSP,NV,052 Benjahiransak,Kavin,TH1021485,,,6,,1,0,,352.06,31,1,,,,,34.69,34.69,,,,,,,,39.47,39.47,,,,,,,,27.32,26.32,1,,,,,,,27.26,22.26,5,,,,,,,35.78,33.78,2,,,,,,,38.01,35.01,3,,,,,,,45.78,15.35,7.64,11.79,11,,,,,,,22.44,21.44,1,,,,,,,43.74,40.74,3,,,,,,,37.57,27.57,5,1,,,,,
57,ESP,MM,088 Chutrakul,Teerawat,TH1020050,,,10,,1,0,,366.89,37,4,5,,1,,27.41,24.41,,,1,,,,,43.35,40.35,,,1,,,,,24.88,21.88,,,1,,,,,31.33,17.33,11,,1,,,,,38.54,29.54,9,,,,,,,31.09,28.09,3,,,,,,,55.57,12.08,9.20,11.29,13,,,,1,,,32.15,24.15,,1,1,,,,,36.14,35.14,1,,,,,,,46.43,31.43,,3,,,,,
58,CCP,UN,041 KHWANKAEO,RATCHANON(ACDT.),,,,7,,1,0,Military,383.22,89,1,2,,,,34.22,30.22,1,,1,,,,,35.74,35.74,,,,,,,,27.93,22.93,2,,1,,,,,23.15,15.15,8,,,,,,,67.36,28.36,39,,,,,,,31.70,26.70,5,,,,,,,56.04,13.32,7.83,7.89,27,,,,,,,28.29,28.29,,,,,,,,40.75,34.75,6,,,,,,,38.04,32.04,1,1,,,,,
59,ESP,UN,017 Lertkajornkitti,Phicchayada,,,,2,,1,0,Lady,408.57,62,1,1,,,,33.64,32.64,1,,,,,,,41.04,38.04,3,,,,,,,39.38,29.38,5,1,,,,,,51.34,43.34,8,,,,,,,45.53,36.53,9,,,,,,,39.21,29.21,7,,1,,,,,43.82,14.00,8.15,10.67,11,,,,,,,27.78,26.78,1,,,,,,,41.48,35.48,6,,,,,,,45.35,34.35,11,,,,,,
60,CDP,NV,026 Haruansri,Veravut,TH1020191,,,3,,1,0,,500.99,38,1,2,,,,36.24,32.24,4,,,,,,,42.69,40.69,2,,,,,,,20.49,19.49,1,,,,,,,34.61,25.61,6,,1,,,,,49.65,42.65,4,,1,,,,,90.16,83.16,7,,,,,,,116.04,64.20,25.33,26.51,,,,,,,,25.56,23.56,2,,,,,,,47.43,39.43,3,1,,,,,,38.12,29.12,9,,,,,,
61,ESP,NV,019 Lerdpaisalwong,Siriporn,TH1019975,,,2,,1,0,Lady,572.05,41,2,2,,,,40.05,40.05,,,,,,,,50.62,47.62,3,,,,,,,52.22,46.22,1,1,,,,,,33.71,33.71,,,,,,,,94.48,89.48,5,,,,,,,59.23,55.23,4,,,,,,,77.47,39.98,14.67,17.82,5,,,,,,,36.57,36.57,,,,,,,,51.63,49.63,2,,,,,,,76.07,44.07,21,1,2,,,,
dnf,CO,EX,073 Seenil,Niti,TH1020564,,,8,,0,1,Law Enforcement,160.40,10,,,,,,17.02,17.02,,,,,,,,17.50,17.50,,,,,,,,19.90,14.90,5,,,,,,,11.63,10.63,1,,,,,,,17.38,17.38,,,,,,,,19.27,16.27,3,,,,,,,,,,,,,,,,,1,14.80,14.80,,,,,,,,21.68,20.68,1,,,,,,,21.22,21.22,,,,,,,
dnf,SSP,EX,075 Ketkaeo,Pansa,,,,8,,0,1,Law Enforcement,157.74,12,,,,,,16.55,16.55,,,,,,,,19.72,19.72,,,,,,,,17.37,14.37,3,,,,,,,19.00,17.00,2,,,,,,,16.51,14.51,2,,,,,,,16.96,15.96,1,,,,,,,,,,,,,,,,,1,13.97,12.97,1,,,,,,,18.37,18.37,,,,,,,,19.29,16.29,3,,,,,,
dnf,CCP,UN,071 Charoenjai,Pichitpol,,,,8,,0,1,Military,289.32,51,,,,,,30.74,26.74,4,,,,,,,30.00,29.00,1,,,,,,,20.11,19.11,1,,,,,,,40.13,23.13,17,,,,,,,45.46,29.46,16,,,,,,,38.74,33.74,5,,,,,,,,,,,,,,,,,1,23.79,22.79,1,,,,,,,32.59,29.59,3,,,,,,,27.76,24.76,3,,,,,,
dnf,PCC,SS,082 Hattapadid,Anonpisut,,,,9,,0,1,,116.02,6,2,,,,,13.39,13.39,,,,,,,,17.30,17.30,,,,,,,,20.93,9.93,1,2,,,,,,8.00,8.00,,,,,,,,10.07,10.07,,,,,,,,15.52,13.52,2,,,,,,,,,,,,,,,,,1,,,,,,,,,1,14.78,13.78,1,,,,,,,16.03,14.03,2,,,,,,
