Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF,Stage 7 Time,Stage 7 String 1,Stage 7 String 2,Stage 7 String 3,Stage 7 PD,Stage 7 Hits on Non-Threat,Stage 7 Procedural Error,Stage 7 Failure to Do Right,Stage 7 Flagrant,Stage 7 Finger PE,Stage 7 DNF,Stage 8 Time,Stage 8 String 1,Stage 8 PD,Stage 8 Hits on Non-Threat,Stage 8 Procedural Error,Stage 8 Failure to Do Right,Stage 8 Flagrant,Stage 8 Finger PE,Stage 8 DNF,Stage 9 Time,Stage 9 String 1,Stage 9 PD,Stage 9 Hits on Non-Threat,Stage 9 Procedural Error,Stage 9 Failure to Do Right,Stage 9 Flagrant,Stage 9 Finger PE,Stage 9 DNF,Stage 10 Time,Stage 10 String 1,Stage 10 PD,Stage 10 Hits on Non-Threat,Stage 10 Procedural Error,Stage 10 Failure to Do Right,Stage 10 Flagrant,Stage 10 Finger PE,Stage 10 DNF
dnf,CO,NV,025 Yongying,Pradya,TH1019877,,,3,,0,1,,208.60,25,2,,,,,,,,,,,,,1,,,,,,,,,1,23.72,20.72,3,,,,,,,19.50,19.50,,,,,,,,28.97,21.97,7,,,,,,,25.62,19.62,6,,,,,,,29.69,11.24,7.29,9.16,2,,,,,,,18.67,18.67,,,,,,,,38.47,23.47,5,2,,,,,,23.96,21.96,2,,,,,,
dnf,CCP,EX,002 Deesomsak,Nut,,,,1,,0,1,,148.75,16,,,,,,18.83,18.83,,,,,,,,21.45,21.45,,,,,,,,20.27,17.27,3,,,,,,,15.03,13.03,2,,,,,,,26.14,24.14,2,,,,,,,21.46,18.46,3,,,,,,,25.57,8.78,5.07,5.72,6,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1
dnf,BUG,SS,055 LERTSONGSAK,EKACHAI,TH1019347,,,6,,0,1,,194.80,5,,,,,,29.22,28.22,1,,,,,,,25.42,25.42,,,,,,,,18.53,17.53,1,,,,,,,,,,,,,,,1,,,,,,,,,1,26.19,25.19,1,,,,,,,25.93,8.85,7.85,9.23,,,,,,,,18.72,18.72,,,,,,,,25.92,23.92,2,,,,,,,24.87,24.87,,,,,,,
dnf,SSP,NV,090 Sodsomta,Phennapa,TH1019245,,,10,,0,1,Lady,153.08,11,,,,,,20.95,20.95,,,,,,,,30.19,25.19,5,,,,,,,17.64,15.64,2,,,,,,,22.47,21.47,1,,,,,,,34.73,31.73,3,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,27.10,27.10,,,,,,,
dnf,CO,SS,102 Pansiri,Montree,TH981230,,,3,,0,1,,172.33,29,,,,,,,,,,,,,,1,,,,,,,,,1,16.12,16.12,,,,,,,,12.46,11.46,1,,,,,,,16.35,16.35,,,,,,,,16.61,16.61,,,,,,,,28.40,10.43,4.95,8.02,5,,,,,,,16.26,16.26,,,,,,,,22.10,20.10,2,,,,,,,44.03,23.03,21,,,,,,
dnf,SSP,MM,094 Bhutapeng,Wuttipun,,,,10,,0,1,Military,143.50,10,,,,,,21.21,21.21,,,,,,,,25.72,25.72,,,,,,,,19.61,17.61,2,,,,,,,21.81,18.81,3,,,,,,,25.09,23.09,2,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,30.06,27.06,3,,,,,,
dnf,SPD,ALL,061 Roopkhamdee,Suphinya,TH1011789,,,7,,0,1,,208.24,16,,,,,,18.13,17.13,1,,,,,,,22.90,21.90,1,,,,,,,14.82,13.82,1,,,,,,,17.27,10.27,7,,,,,,,,,,,,,,,1,,,,,,,,,1,25.80,8.12,4.82,6.86,6,,,,,,,15.38,15.38,,,,,,,,76.45,76.45,,,,,,,,17.49,17.49,,,,,,,
dnf,ESP,MM,088 Chutrakul,Teerawat,TH1020050,,,10,,0,1,,211.94,20,3,4,,,,27.41,24.41,,,1,,,,,43.35,40.35,,,1,,,,,24.88,21.88,,,1,,,,,31.33,17.33,11,,1,,,,,38.54,29.54,9,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,46.43,31.43,,3,,,,,
dnf,CO,EX,073 Seenil,Niti,TH1020564,,,8,,0,1,Law Enforcement,123.75,7,,,,,,17.02,17.02,,,,,,,,17.50,17.50,,,,,,,,19.90,14.90,5,,,,,,,11.63,10.63,1,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,14.80,14.80,,,,,,,,21.68,20.68,1,,,,,,,21.22,21.22,,,,,,,
dnf,REV,EX,031 Klinhom,Arthit,,,,3,,0,1,Senior,218.08,19,,,,,,,,,,,,,,1,,,,,,,,,1,19.30,18.30,1,,,,,,,20.76,19.76,1,,,,,,,40.93,40.93,,,,,,,,29.59,24.59,5,,,,,,,55.10,19.47,5.24,21.39,9,,,,,,,22.19,22.19,,,,,,,,30.21,27.21,3,,,,,,,,,,,,,,,1
dnf,CCP,EX,086 Sodsoy,Nutthapong,TH431698,,,10,,0,1,Military,121.59,14,,,,,,17.11,17.11,,,,,,,,18.33,18.33,,,,,,,,15.31,14.31,1,,,,,,,20.26,14.26,6,,,,,,,28.88,27.88,1,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,21.70,15.70,6,,,,,,
dnf,SSP,EX,075 Ketkaeo,Pansa,,,,8,,0,1,Law Enforcement,124.27,9,,,,,,16.55,16.55,,,,,,,,19.72,19.72,,,,,,,,17.37,14.37,3,,,,,,,19.00,17.00,2,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,13.97,12.97,1,,,,,,,18.37,18.37,,,,,,,,19.29,16.29,3,,,,,,
dnf,BUG,EX,065 Pansuwan,Tanapat,TH1017917,,,7,,0,1,,190.72,41,,1,,,,22.76,19.76,,,1,,,,,27.05,22.05,5,,,,,,,20.00,14.00,6,,,,,,,33.15,12.15,21,,,,,,,,,,,,,,,1,,,,,,,,,1,27.07,9.31,5.77,5.99,6,,,,,,,17.23,17.23,,,,,,,,20.84,19.84,1,,,,,,,22.62,20.62,2,,,,,,
dnf,CCP,UN,071 Charoenjai,Pichitpol,,,,8,,0,1,Military,205.12,30,,,,,,30.74,26.74,4,,,,,,,30.00,29.00,1,,,,,,,20.11,19.11,1,,,,,,,40.13,23.13,17,,,,,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,,,1,23.79,22.79,1,,,,,,,32.59,29.59,3,,,,,,,27.76,24.76,3,,,,,,
dnf,CDP,SS,056 Hijacker,Winday,,,,7,,0,1,Military,194.92,11,,,,,,28.16,27.16,1,,,,,,,31.83,30.83,1,,,,,,,17.21,17.21,,,,,,,,15.52,13.52,2,,,,,,,,,,,,,,,1,,,,,,,,,1,27.19,8.93,5.77,8.49,4,,,,,,,18.00,18.00,,,,,,,,28.13,27.13,1,,,,,,,28.88,26.88,2,,,,,,
dnf,CDP,SS,093 Wisapandsa,Sakda,TH338706,,,10,,0,1,,166.91,15,,,,,,30.44,29.44,1,,,,,,,28.89,27.89,1,,,,,,,20.13,17.13,3,,,,,,,24.57,22.57,2,,,,,,,34.58,30.58,4,,,,,,,,,,,,,,,1,,,,,,,,,,,1,,,,,,,,,1,,,,,,,,,1,28.30,24.30,4,,,,,,
