Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF
11,SPD,ALL,224 Wu,Garrett,,,,12,,1,0,,122.84,11,1,,,,,20.73,19.73,1,,,,,,,13.59,12.59,1,,,,,,,19.51,17.51,2,,,,,,,23.28,21.28,2,,,,,,,24.25,17.25,2,1,,,,,,21.48,18.48,3,,,,,,
12,SSP,MA,165 Ketkaeo,Pansa,,,,9,,1,0,Law Enforcement,123.54,14,,1,,,,20.48,17.48,,,1,,,,,21.13,17.13,4,,,,,,,21.79,17.79,4,,,,,,,19.69,17.69,2,,,,,,,20.98,18.98,2,,,,,,,19.47,17.47,2,,,,,,
13,CCP,MA,214 Uraisint,Sirawit,,,,12,,1,0,,123.78,9,,,,,,19.99,19.99,,,,,,,,22.12,20.12,2,,,,,,,23.06,18.06,5,,,,,,,21.13,19.13,2,,,,,,,15.50,15.50,,,,,,,,21.98,21.98,,,,,,,
14,CO,SS,212 Pinyosri,Chatchai,,,,12,,1,0,Law Enforcement,123.91,13,,,,,,17.73,17.73,,,,,,,,25.82,18.82,7,,,,,,,19.00,18.00,1,,,,,,,22.08,20.08,2,,,,,,,16.73,16.73,,,,,,,,22.55,19.55,3,,,,,,
15,CO,EX,156 Boonla,Vayupat,,,,9,,1,0,Law Enforcement,128.66,9,,,,,,15.51,15.51,,,,,,,,19.65,18.65,1,,,,,,,17.87,17.87,,,,,,,,25.44,18.44,7,,,,,,,29.31,29.31,,,,,,,,20.88,19.88,1,,,,,,
16,CO,SS,186 Yang,Qingzheng,,,,10,,1,0,,128.68,8,,,,,,18.95,18.95,,,,,,,,25.94,23.94,2,,,,,,,22.74,19.74,3,,,,,,,20.88,18.88,2,,,,,,,17.57,17.57,,,,,,,,22.60,21.60,1,,,,,,
17,ESP,EX,168 Tongsomboon,Kantaphat,,,,9,,1,0,,128.90,10,,,,,,20.11,20.11,,,,,,,,24.10,19.10,5,,,,,,,22.54,21.54,1,,,,,,,22.79,19.79,3,,,,,,,17.49,16.49,1,,,,,,,21.87,21.87,,,,,,,
18,CO,MM,155 Chanthadee,Karn,,,,9,,1,0,Law Enforcement,130.20,6,,,,,,21.04,21.04,,,,,,,,24.97,21.97,3,,,,,,,21.67,20.67,1,,,,,,,22.27,21.27,1,,,,,,,19.00,18.00,1,,,,,,,21.25,21.25,,,,,,,
19,CCP,SS,121 Pansiri,Montree,,,,7,,1,0,,133.78,27,,,,,,19.75,18.75,1,,,,,,,24.08,17.08,7,,,,,,,24.84,18.84,6,,,,,,,24.66,17.66,7,,,,,,,16.56,16.56,,,,,,,,23.89,17.89,6,,,,,,
20,CO,UN,140 Kotthanu,Yodsapol,,,,8,,1,0,Senior,134.88,8,,1,,,,21.41,20.41,1,,,,,,,22.25,21.25,1,,,,,,,27.92,22.92,2,,1,,,,,23.29,20.29,3,,,,,,,17.51,17.51,,,,,,,,22.50,21.50,1,,,,,,
21,PCC,NV,141 Muanthong,Nutthawat,,,,8,,1,0,Law Enforcement,137.32,2,,,,,,30.77,30.77,,,,,,,,18.46,18.46,,,,,,,,21.32,21.32,,,,,,,,24.09,22.09,2,,,,,,,19.13,19.13,,,,,,,,23.55,23.55,,,,,,,
22,SPD,ALL,225 Jiafan,Lian,,,,12,,1,0,,139.01,6,,1,,,,23.79,23.79,,,,,,,,24.63,21.63,,,1,,,,,22.60,20.60,2,,,,,,,21.84,19.84,2,,,,,,,21.00,20.00,1,,,,,,,25.15,24.15,1,,,,,,
23,CO,EX,222 Suriyasenee,Nachapol,,,,7,,1,0,,140.81,9,,,,,,19.98,19.98,,,,,,,,25.80,20.80,5,,,,,,,20.61,19.61,1,,,,,,,23.06,21.06,2,,,,,,,27.39,27.39,,,,,,,,23.97,22.97,1,,,,,,
24,CCP,EX,215 Yingsirithananont,Athipatch,,,,12,,1,0,,140.93,17,,,,,,19.21,18.21,1,,,,,,,30.21,21.21,9,,,,,,,22.26,21.26,1,,,,,,,22.51,20.51,2,,,,,,,20.82,20.82,,,,,,,,25.92,21.92,4,,,,,,
25,CCP,NV,139 Chanawiset,Boss,,,,8,,1,0,,144.45,12,,1,,,,22.28,22.28,,,,,,,,25.55,21.55,4,,,,,,,28.21,20.21,5,,1,,,,,25.67,24.67,1,,,,,,,21.43,19.43,2,,,,,,,21.31,21.31,,,,,,,
26,SPD,ALL,226 Teng,Wang,,,,12,,1,0,,145.44,4,,,,,,22.62,22.62,,,,,,,,24.16,23.16,1,,,,,,,23.50,22.50,1,,,,,,,26.85,25.85,1,,,,,,,23.81,22.81,1,,,,,,,24.50,24.50,,,,,,,
27,SPD,ALL,223 Xiaojian,Hu,,,,12,,1,0,,146.27,7,,,,,,22.29,22.29,,,,,,,,26.37,23.37,3,,,,,,,25.09,24.09,1,,,,,,,27.41,25.41,2,,,,,,,20.85,19.85,1,,,,,,,24.26,24.26,,,,,,,
28,CO,MM,170 Tinrach,Amnat,,,,10,,1,0,Law Enforcement,148.45,26,1,,,,,24.77,18.77,6,,,,,,,31.35,18.35,8,1,,,,,,21.75,19.75,2,,,,,,,25.33,20.33,5,,,,,,,24.37,19.37,5,,,,,,,20.88,20.88,,,,,,,
29,ESP,NV,192 Khanchalee,Ponsun,,,,11,,1,0,Law Enforcement,149.53,21,,,,,,23.82,19.82,4,,,,,,,26.71,19.71,7,,,,,,,22.95,20.95,2,,,,,,,28.07,24.07,4,,,,,,,21.45,19.45,2,,,,,,,26.53,24.53,2,,,,,,
30,ESP,SS,216 Roopkhamdee,Suphinya,,,,12,,1,0,Lady,150.53,18,,,,,,21.09,21.09,,,,,,,,29.62,24.62,5,,,,,,,22.72,19.72,3,,,,,,,25.58,23.58,2,,,,,,,21.36,21.36,,,,,,,,30.16,22.16,8,,,,,,
31,CCP,MM,147 Daosiriroj,Chatthawat,,,,8,,1,0,,152.63,15,,,,,,23.98,23.98,,,,,,,,24.21,20.21,4,,,,,,,24.79,21.79,3,,,,,,,25.67,23.67,2,,,,,,,27.03,24.03,3,,,,,,,26.95,23.95,3,,,,,,
32,CO,UN,218 Akatchai,Pitakpon,,,,12,,1,0,Law Enforcement,154.54,6,,3,,,,19.62,19.62,,,,,,,,23.59,21.59,2,,,,,,,27.38,21.38,3,,1,,,,,26.71,26.71,,,,,,,,30.42,24.42,,,2,,,,,26.82,25.82,1,,,,,,
33,CDP,SS,176 Tuck,David,,,,10,,1,0,Senior,155.85,21,,,,,,20.65,20.65,,,,,,,,25.35,23.35,2,,,,,,,33.51,23.51,10,,,,,,,25.92,22.92,3,,,,,,,25.10,19.10,6,,,,,,,25.32,25.32,,,,,,,
34,SSP,MM,164 Kongpet,Sawapat,,,,9,,1,0,Law Enforcement,155.93,24,,,,,,24.62,24.62,,,,,,,,25.35,23.35,2,,,,,,,25.79,18.79,7,,,,,,,27.77,21.77,6,,,,,,,24.69,22.69,2,,,,,,,27.71,20.71,7,,,,,,
35,SSP,NV,172 Sriton,Chalemrat,,,,10,,1,0,Law Enforcement,157.03,13,,,,,,25.87,22.87,3,,,,,,,26.30,23.30,3,,,,,,,29.24,26.24,3,,,,,,,31.43,27.43,4,,,,,,,23.85,23.85,,,,,,,,20.34,20.34,,,,,,,
36,SSP,MM,163 Ondee,Thiraphat,,,,9,,1,0,Law Enforcement,157.27,15,,,,,,27.48,25.48,2,,,,,,,30.64,25.64,5,,,,,,,22.77,21.77,1,,,,,,,28.66,23.66,5,,,,,,,21.41,19.41,2,,,,,,,26.31,26.31,,,,,,,
37,SSP,SS,145 Yooyen,Sathaporn,,,,8,,1,0,Law Enforcement,159.36,20,,,,,,26.05,26.05,,,,,,,,29.03,24.03,5,,,,,,,25.79,21.79,4,,,,,,,28.83,19.83,9,,,,,,,23.71,23.71,,,,,,,,25.95,23.95,2,,,,,,
38,BUG,EX,137 Pansuwan,Tanapat,,,,8,,1,0,,159.73,29,,,,,,20.82,20.82,,,,,,,,22.33,18.33,4,,,,,,,29.00,19.00,10,,,,,,,34.03,26.03,8,,,,,,,28.27,25.27,3,,,,,,,25.28,21.28,4,,,,,,
39,CCP,NV,210 Maneechansuk,Ekkaphong,,,,12,,1,0,,160.65,14,,,,,,21.84,20.84,1,,,,,,,28.62,22.62,6,,,,,,,22.73,21.73,1,,,,,,,36.36,34.36,2,,,,,,,23.90,22.90,1,,,,,,,27.20,24.20,3,,,,,,
40,ESP,NV,208 Ditsaranonta,Nititorn,,,,12,,1,0,,160.84,17,,1,,,,24.86,23.86,1,,,,,,,25.22,21.22,4,,,,,,,29.69,20.69,6,,1,,,,,28.09,24.09,4,,,,,,,26.95,25.95,1,,,,,,,26.03,25.03,1,,,,,,
41,ESP,SS,162 Panoi,Phuchit,,,,9,,1,0,Law Enforcement,164.27,25,,1,,,,24.68,22.68,2,,,,,,,22.96,20.96,2,,,,,,,30.06,23.06,7,,,,,,,40.37,29.37,11,,,,,,,19.44,17.44,2,,,,,,,26.76,22.76,1,,1,,,,
42,CO,NV,169 Rachatamongkol,Pongpohn,,,,10,,1,0,Law Enforcement,165.70,20,,1,,,,28.28,25.28,,,1,,,,,28.55,23.55,5,,,,,,,29.40,22.40,7,,,,,,,29.52,26.52,3,,,,,,,22.70,18.70,4,,,,,,,27.25,26.25,1,,,,,,
43,CO,EX,202 Boopeas,Alongkron,,,,11,,1,0,,165.79,36,,1,,,,23.58,19.58,4,,,,,,,31.68,18.68,13,,,,,,,28.78,26.78,2,,,,,,,30.50,16.50,11,,1,,,,,21.78,20.78,1,,,,,,,29.47,24.47,5,,,,,,
44,CO,MM,198 Akkapram,Kidchanayod,,,,11,,1,0,,165.96,18,,,,,,22.02,22.02,,,,,,,,28.76,22.76,6,,,,,,,27.23,24.23,3,,,,,,,32.38,27.38,5,,,,,,,26.69,25.69,1,,,,,,,28.88,25.88,3,,,,,,
45,REV,EX,150 Singsomboon,Tavesak,,,,8,,1,0,Senior,166.52,9,,,,,,29.01,29.01,,,,,,,,26.45,24.45,2,,,,,,,29.02,26.02,3,,,,,,,31.27,29.27,2,,,,,,,25.38,24.38,1,,,,,,,25.39,24.39,1,,,,,,
46,PCC,NV,160 Worrachotepitipatch,Pitipatch,,,,9,,1,0,,167.18,14,,2,,,,27.07,27.07,,,,,,,,29.78,24.78,5,,,,,,,23.75,23.75,,,,,,,,26.61,15.61,5,,2,,,,,41.77,39.77,2,,,,,,,18.20,16.20,2,,,,,,
47,BUG,SS,149 Raksachol,Rachata,,,,8,,1,0,,168.74,32,,,,,,23.92,22.92,1,,,,,,,26.87,19.87,7,,,,,,,30.43,19.43,11,,,,,,,31.69,25.69,6,,,,,,,33.15,27.15,6,,,,,,,22.68,21.68,1,,,,,,
48,CO,UN,181 Chaichana,Tappracha,,,,10,,1,0,Law Enforcement,172.55,21,,1,,,,34.73,26.73,5,,1,,,,,28.27,22.27,6,,,,,,,28.47,24.47,4,,,,,,,30.79,24.79,6,,,,,,,22.82,22.82,,,,,,,,27.47,27.47,,,,,,,
49,ESP,SS,154 Stityuthakarn,Pasakorn,,,,9,,1,0,,172.88,32,,,,,,24.66,24.66,,,,,,,,26.05,22.05,4,,,,,,,33.84,24.84,9,,,,,,,37.17,29.17,8,,,,,,,23.06,20.06,3,,,,,,,28.10,20.10,8,,,,,,
50,CO,UN,182 Khongsri,Akkaradet,,,,10,,1,0,,173.55,8,,,,,,24.29,24.29,,,,,,,,29.15,24.15,5,,,,,,,30.94,29.94,1,,,,,,,35.02,34.02,1,,,,,,,25.79,25.79,,,,,,,,28.36,27.36,1,,,,,,
51,SSP,MM,138 Choowassawattapat,Krit,,,,8,,1,0,Law Enforcement,174.00,16,,,,,,28.69,28.69,,,,,,,,33.02,29.02,4,,,,,,,26.35,21.35,5,,,,,,,28.34,25.34,3,,,,,,,30.23,29.23,1,,,,,,,27.37,24.37,3,,,,,,
52,CO,SS,201 Hojongjaroen,Thanus,,,,11,,1,0,,176.51,47,,1,,,,22.66,22.66,,,,,,,,27.05,21.05,6,,,,,,,36.49,21.49,15,,,,,,,37.29,21.29,16,,,,,,,21.36,18.36,3,,,,,,,31.66,21.66,7,,1,,,,
53,SSP,SS,135 Ratklao,Suriya,,,,7,,1,0,Law Enforcement,176.75,43,1,,,,,20.68,19.68,1,,,,,,,40.06,25.06,10,1,,,,,,38.89,23.89,15,,,,,,,29.76,20.76,9,,,,,,,19.33,19.33,,,,,,,,28.03,20.03,8,,,,,,
54,CDP,UN,171 Kulthip,Watcharit,,,,10,,1,0,Law Enforcement,177.19,11,,,,,,21.80,21.80,,,,,,,,35.36,29.36,6,,,,,,,29.22,28.22,1,,,,,,,32.96,31.96,1,,,,,,,30.67,28.67,2,,,,,,,27.18,26.18,1,,,,,,
55,REV,EX,174 Klinhom,Arthit,,,,10,,1,0,Senior,181.67,11,,,,,,31.27,31.27,,,,,,,,29.21,28.21,1,,,,,,,28.02,26.02,2,,,,,,,33.11,29.11,4,,,,,,,34.30,32.30,2,,,,,,,25.76,23.76,2,,,,,,
56,CO,NV,227 Sathianwatchai,Wisawat,,,,8,,1,0,Law Enforcement,182.10,22,,,,,,25.18,25.18,,,,,,,,40.66,26.66,14,,,,,,,30.06,29.06,1,,,,,,,34.71,30.71,4,,,,,,,24.02,22.02,2,,,,,,,27.47,26.47,1,,,,,,
57,SPD,ALL,144 Akaraphongphakphoom,Kronphong,,,,8,,1,0,,184.05,17,,1,,,,34.50,34.50,,,,,,,,26.37,25.37,1,,,,,,,34.39,24.39,7,,1,,,,,32.31,29.31,3,,,,,,,28.54,22.54,6,,,,,,,27.94,27.94,,,,,,,
58,CO,UN,200 Okada,Kazuyuki,,,,11,,1,0,,187.00,15,1,,,,,29.49,29.49,,,,,,,,35.71,26.71,4,1,,,,,,30.49,28.49,2,,,,,,,27.22,25.22,2,,,,,,,26.98,25.98,1,,,,,,,37.11,31.11,6,,,,,,
59,CO,NV,187 Khamfu,Phasuk,,,,10,,1,0,Senior,190.73,28,,,,,,25.11,23.11,2,,,,,,,37.41,25.41,12,,,,,,,30.07,27.07,3,,,,,,,40.12,36.12,4,,,,,,,20.04,20.04,,,,,,,,37.98,30.98,7,,,,,,
60,CDP,NV,142 Sukpaiboon,Thammarat,,,,8,,1,0,Law Enforcement,194.20,30,,,,,,27.36,25.36,2,,,,,,,33.65,22.65,11,,,,,,,30.64,26.64,4,,,,,,,36.49,31.49,5,,,,,,,24.82,22.82,2,,,,,,,41.24,35.24,6,,,,,,
61,CO,UN,173 Detpreedapon,Ekachai,,,,10,,1,0,Law Enforcement,194.38,11,,1,,,,31.95,31.95,,,,,,,,32.46,28.46,1,,1,,,,,31.80,31.80,,,,,,,,31.47,29.47,2,,,,,,,32.70,30.70,2,,,,,,,34.00,28.00,6,,,,,,
62,CCP,SS,206 Thinchomkwan,Natthawut,,,,11,,1,0,,195.82,19,,,,,,29.99,29.99,,,,,,,,33.02,32.02,1,,,,,,,31.81,28.81,3,,,,,,,35.64,30.64,5,,,,,,,33.21,24.21,9,,,,,,,32.15,31.15,1,,,,,,
63,SSP,MM,203 Teerasawat,Sutee,,,,11,,1,0,Law Enforcement,199.73,30,,,,,,29.01,28.01,1,,,,,,,30.72,25.72,5,,,,,,,36.35,27.35,9,,,,,,,40.38,34.38,6,,,,,,,33.03,24.03,9,,,,,,,30.24,30.24,,,,,,,
64,REV,NV,196 Duangchathom,Surachai,,,,11,,1,0,,200.81,19,,,,,,37.81,35.81,2,,,,,,,36.93,31.93,5,,,,,,,33.31,32.31,1,,,,,,,35.18,33.18,2,,,,,,,27.39,24.39,3,,,,,,,30.19,24.19,6,,,,,,
65,SSP,MM,204 Poala,Nattapon,,,,11,,1,0,Law Enforcement,203.09,48,,1,,,,27.18,27.18,,,,,,,,27.37,21.37,6,,,,,,,30.75,24.75,6,,,,,,,49.18,28.18,18,,1,,,,,30.74,25.74,5,,,,,,,37.87,24.87,13,,,,,,
66,CCP,MM,213 Yarangsee,Nitima,,,,12,,1,0,"Lady,Law Enforcement",206.59,18,,,,,,32.13,31.13,1,,,,,,,40.79,31.79,9,,,,,,,33.88,29.88,4,,,,,,,30.71,30.71,,,,,,,,32.69,31.69,1,,,,,,,36.39,33.39,3,,,,,,
67,CCP,NV,191 Somchoknapakorn,Korrakot,,,,11,,1,0,,207.04,39,1,1,,,,25.40,25.40,,,,,,,,39.65,21.65,13,1,,,,,,40.78,25.78,15,,,,,,,42.47,33.47,6,,1,,,,,29.85,28.85,1,,,,,,,28.89,24.89,4,,,,,,
68,CCP,UN,143 Khwankaeo,Ratchanon,,,,8,,1,0,Law Enforcement,209.06,21,,,,,,34.55,27.55,7,,,,,,,36.25,32.25,4,,,,,,,32.79,30.79,2,,,,,,,36.43,36.43,,,,,,,,38.63,31.63,7,,,,,,,30.41,29.41,1,,,,,,
69,CCP,NV,126 Seeme,Phonchai,,,,7,,1,0,Law Enforcement,211.78,53,1,1,,,,27.62,21.62,3,,1,,,,,50.12,23.12,22,1,,,,,,37.84,25.84,12,,,,,,,34.40,27.40,7,,,,,,,25.50,24.50,1,,,,,,,36.30,28.30,8,,,,,,
70,CCP,NV,175 Niyomna,Sakchai,,,,10,,1,0,Senior,212.78,21,1,,,,,33.60,30.60,3,,,,,,,34.63,30.63,4,,,,,,,33.57,28.57,5,,,,,,,37.25,29.25,8,,,,,,,37.15,32.15,,1,,,,,,36.58,35.58,1,,,,,,
71,CCP,UN,128 Photong,Thanachok,,,,7,,1,0,,216.63,28,,,,,,37.10,35.10,2,,,,,,,33.09,24.09,9,,,,,,,36.34,31.34,5,,,,,,,35.56,29.56,6,,,,,,,34.38,33.38,1,,,,,,,40.16,35.16,5,,,,,,
72,CO,UN,183 Thongpa,Jenphop,,,,10,,1,0,Law Enforcement,222.57,44,3,1,,,,46.59,33.59,3,2,,,,,,35.10,23.10,7,1,,,,,,45.81,25.81,17,,1,,,,,31.46,25.46,6,,,,,,,28.48,24.48,4,,,,,,,35.13,28.13,7,,,,,,
73,SSP,UN,123 Ausup,Jeasada,,,,7,,1,0,,222.79,26,2,,,,,30.47,30.47,,,,,,,,47.86,33.86,14,,,,,,,35.07,32.07,3,,,,,,,29.19,29.19,,,,,,,,33.87,28.87,5,,,,,,,46.33,32.33,4,2,,,,,
74,ESP,NV,217 Wetjatuporn,Jirapa,,,,12,,1,0,Lady,222.82,71,,,,,,29.56,24.56,5,,,,,,,40.58,27.58,13,,,,,,,46.99,26.99,20,,,,,,,42.85,24.85,18,,,,,,,29.24,23.24,6,,,,,,,33.60,24.60,9,,,,,,
75,SSP,NV,205 Piromkriphak,Kasit,,,,11,,1,0,Law Enforcement,223.34,55,,3,,,,31.16,31.16,,,,,,,,27.97,23.97,4,,,,,,,46.06,25.06,21,,,,,,,28.18,27.18,1,,,,,,,23.14,21.14,2,,,,,,,66.83,30.83,27,,3,,,,
76,CDP,MM,199 Kucharo,Choosak,,,,11,,1,0,"Senior,Law Enforcement",225.00,46,1,2,,,,26.75,23.75,,,1,,,,,44.22,25.22,14,1,,,,,,39.56,26.56,13,,,,,,,42.00,28.00,14,,,,,,,31.46,29.46,2,,,,,,,41.01,35.01,3,,1,,,,
77,CCP,UN,221 Ardwichai,Anantasak,,,,12,,1,0,Law Enforcement,227.69,47,,,,,,31.66,26.66,5,,,,,,,45.85,27.85,18,,,,,,,38.15,29.15,9,,,,,,,44.96,31.96,13,,,,,,,33.89,32.89,1,,,,,,,33.18,32.18,1,,,,,,
78,BUG,MM,125 Nowkord,Thanaphon,,,,7,,1,0,Law Enforcement,228.30,29,,,,,,33.76,31.76,2,,,,,,,33.16,30.16,3,,,,,,,42.12,30.12,12,,,,,,,46.57,38.57,8,,,,,,,42.52,38.52,4,,,,,,,30.17,30.17,,,,,,,
79,BUG,MM,152 Pathasema,Sombat,,,,9,,1,0,Senior,232.80,27,,,,,,33.75,31.75,2,,,,,,,36.27,31.27,5,,,,,,,36.21,26.21,10,,,,,,,39.47,37.47,2,,,,,,,49.12,47.12,2,,,,,,,37.98,31.98,6,,,,,,
80,SSP,NV,219 Lakthong,Atthapon,,,,12,,1,0,Law Enforcement,239.70,49,,,,,,36.18,30.18,6,,,,,,,36.06,28.06,8,,,,,,,29.46,27.46,2,,,,,,,58.34,41.34,17,,,,,,,40.34,37.34,3,,,,,,,39.32,26.32,13,,,,,,
81,SSP,UN,136 Ditsabanchong,Rungroj,,,,7,,1,0,,242.11,32,1,,,,,29.38,29.38,,,,,,,,27.52,25.52,2,,,,,,,43.81,28.81,15,,,,,,,51.65,46.65,5,,,,,,,56.01,49.01,2,1,,,,,,33.74,25.74,8,,,,,,
82,CCP,UN,161 Charoenjai,Pichitpol,,,,9,,1,0,Law Enforcement,246.63,57,,,,,,33.46,30.46,3,,,,,,,35.01,22.01,13,,,,,,,55.22,38.22,17,,,,,,,35.58,30.58,5,,,,,,,42.66,35.66,7,,,,,,,44.70,32.70,12,,,,,,
83,CO,UN,153 Phuboonton,Auttapon,,,,9,,1,0,Law Enforcement,254.85,42,,2,,,,32.46,32.46,,,,,,,,36.03,30.03,3,,1,,,,,53.70,40.70,13,,,,,,,51.89,43.89,8,,,,,,,41.87,27.87,11,,1,,,,,38.90,31.90,7,,,,,,
84,CCP,NV,211 Maneechansuk,Isawan,,,,12,,1,0,Junior,255.12,37,,,,,,34.30,32.30,2,,,,,,,37.94,30.94,7,,,,,,,43.66,33.66,10,,,,,,,43.95,34.95,9,,,,,,,51.44,43.44,8,,,,,,,43.83,42.83,1,,,,,,
85,CO,MM,180 Petphoung,Somkid,,,,10,,1,0,"Law Enforcement,Senior",271.86,34,,,,,,40.11,39.11,1,,,,,,,40.59,31.59,9,,,,,,,49.19,40.19,9,,,,,,,62.07,55.07,7,,,,,,,39.08,35.08,4,,,,,,,40.82,36.82,4,,,,,,
86,CCP,UN,134 Kaewmanee,Thanadet,,,,7,,1,0,,274.61,16,,1,,,,44.01,43.01,1,,,,,,,49.83,46.83,,,1,,,,,49.36,43.36,6,,,,,,,47.09,42.09,5,,,,,,,41.19,41.19,,,,,,,,43.13,39.13,4,,,,,,
