Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF
1,PCC,EX,167 Kamonjitvaree,Kritawat,,,,9,,1,0,,97.74,10,,,,,,16.81,15.81,1,,,,,,,18.44,15.44,3,,,,,,,16.66,15.66,1,,,,,,,14.69,11.69,3,,,,,,,12.75,12.75,,,,,,,,18.39,16.39,2,,,,,,
2,CO,EX,146 Kunlasetthawat,Tanakom,,,,8,,1,0,,107.19,6,,,,,,20.13,20.13,,,,,,,,16.51,15.51,1,,,,,,,16.38,14.38,2,,,,,,,17.82,16.82,1,,,,,,,17.96,15.96,2,,,,,,,18.39,18.39,,,,,,,
3,PCC,MA,159 Charoendechkul,Vatcharapon,,,,9,,1,0,,107.81,8,,,,,,15.25,14.25,1,,,,,,,17.74,16.74,1,,,,,,,15.62,15.62,,,,,,,,17.83,13.83,4,,,,,,,13.61,12.61,1,,,,,,,27.76,26.76,1,,,,,,
4,PCC,SS,158 Hattapadid,Anonpisut,,,,9,,1,0,,108.08,17,,,,,,21.95,16.95,5,,,,,,,17.98,17.98,,,,,,,,20.84,15.84,5,,,,,,,17.18,13.18,4,,,,,,,14.41,13.41,1,,,,,,,15.72,13.72,2,,,,,,
5,ESP,Ma,188 Smpaiwong,Somphot,,,,11,,1,0,Law Enforcement,109.60,8,,,,,,15.33,15.33,,,,,,,,20.90,17.90,3,,,,,,,18.15,18.15,,,,,,,,19.72,17.72,2,,,,,,,17.07,15.07,2,,,,,,,18.43,17.43,1,,,,,,
6,SSP,EX,157 Pimchue,Montree,,,,9,,1,0,,111.56,4,,,,,,18.18,18.18,,,,,,,,22.07,20.07,2,,,,,,,17.76,17.76,,,,,,,,19.46,18.46,1,,,,,,,15.75,15.75,,,,,,,,18.34,17.34,1,,,,,,
7,SSP,MA,184 Itsarawut,Tong,,,,10,,1,0,,113.37,7,,,,,,16.47,16.47,,,,,,,,24.11,19.11,5,,,,,,,19.14,19.14,,,,,,,,17.83,16.83,1,,,,,,,16.37,16.37,,,,,,,,19.45,18.45,1,,,,,,
8,SSP,MA,207 Srirongmuang,Siam,,,,12,,1,0,,117.09,12,,,,,,18.59,18.59,,,,,,,,20.56,18.56,2,,,,,,,18.00,17.00,1,,,,,,,24.94,16.94,8,,,,,,,16.99,16.99,,,,,,,,18.01,17.01,1,,,,,,
9,PCC,MM,166 Tinnarat,Apichart,,,,9,,1,0,Law Enforcement,120.14,8,3,,,,,33.37,17.37,1,3,,,,,,22.17,19.17,3,,,,,,,17.78,16.78,1,,,,,,,15.96,13.96,2,,,,,,,13.92,13.92,,,,,,,,16.94,15.94,1,,,,,,
10,CCP,MA,185 Pfenninger,Andy,,,,10,,1,0,Senior,122.20,7,,,,,,18.82,18.82,,,,,,,,20.80,18.80,2,,,,,,,21.15,20.15,1,,,,,,,22.45,20.45,2,,,,,,,17.31,17.31,,,,,,,,21.67,19.67,2,,,,,,
