Place,Division,Class,Last Name,First Name,IDPA ID,Location,Shooter Number,Squad,Session,Completed,DNF,Categories,Total Score,Total PD,Hits on Non-Threat,Procedural Error,Failure to Do Right,Flagrant,Finger PE,Stage 1 Time,Stage 1 String 1,Stage 1 PD,Stage 1 Hits on Non-Threat,Stage 1 Procedural Error,Stage 1 Failure to Do Right,Stage 1 Flagrant,Stage 1 Finger PE,Stage 1 DNF,Stage 2 Time,Stage 2 String 1,Stage 2 PD,Stage 2 Hits on Non-Threat,Stage 2 Procedural Error,Stage 2 Failure to Do Right,Stage 2 Flagrant,Stage 2 Finger PE,Stage 2 DNF,Stage 3 Time,Stage 3 String 1,Stage 3 PD,Stage 3 Hits on Non-Threat,Stage 3 Procedural Error,Stage 3 Failure to Do Right,Stage 3 Flagrant,Stage 3 Finger PE,Stage 3 DNF,Stage 4 Time,Stage 4 String 1,Stage 4 PD,Stage 4 Hits on Non-Threat,Stage 4 Procedural Error,Stage 4 Failure to Do Right,Stage 4 Flagrant,Stage 4 Finger PE,Stage 4 DNF,Stage 5 Time,Stage 5 String 1,Stage 5 PD,Stage 5 Hits on Non-Threat,Stage 5 Procedural Error,Stage 5 Failure to Do Right,Stage 5 Flagrant,Stage 5 Finger PE,Stage 5 DNF,Stage 6 Time,Stage 6 String 1,Stage 6 PD,Stage 6 Hits on Non-Threat,Stage 6 Procedural Error,Stage 6 Failure to Do Right,Stage 6 Flagrant,Stage 6 Finger PE,Stage 6 DNF,Stage 7 Time,Stage 7 String 1,Stage 7 PD,Stage 7 Hits on Non-Threat,Stage 7 Procedural Error,Stage 7 Failure to Do Right,Stage 7 Flagrant,Stage 7 Finger PE,Stage 7 DNF,Stage 8 Time,Stage 8 String 1,Stage 8 PD,Stage 8 Hits on Non-Threat,Stage 8 Procedural Error,Stage 8 Failure to Do Right,Stage 8 Flagrant,Stage 8 Finger PE,Stage 8 DNF
62,SSP,MM,129 Kaewtong,Jirawut,129,,,7,,1,0,,256.96,73,,1,,,,28.23,25.23,3,,,,,,,39.85,33.85,6,,,,,,,33.04,21.04,12,,,,,,,31.52,18.52,10,,1,,,,,26.15,14.15,12,,,,,,,24.64,22.64,2,,,,,,,27.66,27.66,,,,,,,,45.87,17.87,28,,,,,,
63,ESP,NV,082 Chuklin,Thanachai,82,,,5,,1,0,Senior,257.28,23,,2,,,,38.40,33.40,2,,1,,,,,22.50,22.50,,,,,,,,34.87,28.87,3,,1,,,,,31.09,28.09,3,,,,,,,22.30,21.30,1,,,,,,,28.19,24.19,4,,,,,,,38.51,33.51,5,,,,,,,41.42,36.42,5,,,,,,
64,CDP,SS,005 Chaisisa,Somjit,5,,,1,,1,0,,257.38,42,1,,,,,22.06,21.06,1,,,,,,,22.79,20.79,2,,,,,,,48.58,19.58,24,1,,,,,,31.06,28.06,3,,,,,,,19.88,19.88,,,,,,,,27.13,26.13,1,,,,,,,48.88,42.88,6,,,,,,,37.00,32.00,5,,,,,,
65,CO,ALL,115 -,Tai Boon Chin,115,,,6,,1,0,,259.05,42,1,2,,,,27.29,27.29,,,,,,,,26.97,25.97,1,,,,,,,46.06,25.06,13,1,1,,,,,26.70,26.70,,,,,,,,24.11,24.11,,,,,,,,27.28,23.28,4,,,,,,,48.83,32.83,13,,1,,,,,31.81,20.81,11,,,,,,
66,CCP,MM,074 Yingsirithananont,Athipatch,74,,,4,,1,0,Law Enforcement,259.14,36,1,2,,,,22.40,22.40,,,,,,,,21.04,20.04,1,,,,,,,40.78,25.78,7,1,1,,,,,31.72,30.72,1,,,,,,,21.62,21.62,,,,,,,,29.62,27.62,2,,,,,,,49.54,33.54,13,,1,,,,,42.42,30.42,12,,,,,,
67,CCP,MM,067 Ditsaranonta,Nititorn,67,,,4,,1,0,,259.16,38,,2,,,,26.97,21.97,5,,,,,,,27.84,24.84,3,,,,,,,35.55,23.55,9,,1,,,,,32.98,31.98,1,,,,,,,22.55,19.55,3,,,,,,,38.37,28.37,7,,1,,,,,34.33,33.33,1,,,,,,,40.57,31.57,9,,,,,,
68,CCP,MM,085 Photikot,Naphon,85,,,5,,1,0,Law Enforcement,259.22,27,1,,,,,34.85,33.85,1,,,,,,,23.84,23.84,,,,,,,,37.68,22.68,10,1,,,,,,33.78,30.78,3,,,,,,,22.17,22.17,,,,,,,,35.93,32.93,3,,,,,,,34.85,33.85,1,,,,,,,36.12,27.12,9,,,,,,
69,SSP,SS,107 Assawawongthada,Issara,107,,,6,,1,0,,259.31,95,,2,,,,25.96,20.96,2,,1,,,,,20.50,17.50,3,,,,,,,44.83,17.83,24,,1,,,,,36.52,20.52,16,,,,,,,14.25,13.25,1,,,,,,,27.32,19.32,8,,,,,,,31.02,25.02,6,,,,,,,58.91,23.91,35,,,,,,
70,SSP,NV,206 Cochrane,Ryan,206,,,8,,1,0,,259.98,47,3,2,,,,26.34,25.34,1,,,,,,,20.87,19.87,1,,,,,,,36.89,20.89,11,1,,,,,,38.00,24.00,4,2,,,,,,20.81,19.81,1,,,,,,,29.80,25.80,4,,,,,,,47.72,28.72,13,,2,,,,,39.55,27.55,12,,,,,,
71,SSP,MM,028 Montika,Suttinun,28,,,2,,1,0,Law Enforcement,261.35,41,1,,,,,35.01,27.01,8,,,,,,,24.17,24.17,,,,,,,,34.98,24.98,5,1,,,,,,32.20,30.20,2,,,,,,,19.06,18.06,1,,,,,,,39.07,26.07,13,,,,,,,30.81,28.81,2,,,,,,,46.05,36.05,10,,,,,,
72,CO,ALL,216 Saiphan,Tawatchai,216,,,12,,1,0,Law Enforcement,261.60,78,,3,,,,18.08,18.08,,,,,,,,21.90,21.90,,,,,,,,30.72,19.72,11,,,,,,,28.90,21.90,7,,,,,,,16.51,15.51,1,,,,,,,37.13,24.13,13,,,,,,,68.47,29.47,30,,3,,,,,39.89,23.89,16,,,,,,
73,REV,MM,160 Panawong,Kittikorn,160,,,9,,1,0,,261.89,56,1,1,,,,32.03,31.03,1,,,,,,,18.66,18.66,,,,,,,,53.30,22.30,23,1,1,,,,,34.40,27.40,7,,,,,,,16.57,16.57,,,,,,,,29.42,25.42,4,,,,,,,40.44,40.44,,,,,,,,37.07,16.07,21,,,,,,
